zip,month,home_value_index,median_sale_price,median_list_price,median_price_per_sqft,homes_sold,new_listings,inventory,median_days_on_market,avg_sale_to_list_ratio,pct_sold_above_list,pct_off_market_in_2wks,mortgage_rate_30yr,mortgage_arm_spread,median_household_income,median_owner_home_value,median_gross_rent,owner_occupancy_rate,business_establishments,total_employment,avg_pay_per_employee,tax_returns_filed,adjusted_gross_income,taxable_interest_income,home_value_mom_pct,home_value_yoy_pct,sale_price_mom_pct,sale_price_yoy_pct,inventory_mom_pct,inventory_yoy_pct,home_value_mom_3m_avg,sale_price_mom_3m_avg,inventory_mom_3m_avg,pct_above_list_3m_avg,sale_to_list_3m_avg,off_market_2wk_3m_avg,home_value_mom_12m_avg,sale_price_mom_12m_avg,inventory_mom_12m_avg,home_value_mom_3m_std,sale_price_mom_3m_std,home_value_accel,sale_price_accel,inventory_accel,price_to_income_ratio,rent_to_income_ratio,price_to_rent_ratio,home_value_vs_baseline,sale_price_vs_baseline,inventory_vs_baseline,dom_vs_baseline,home_value_mom_pct_lag3,home_value_mom_pct_lag6,sale_price_mom_pct_lag3,sale_price_mom_pct_lag6,inventory_mom_pct_lag3,inventory_mom_pct_lag6,pct_sold_above_list_lag3,pct_sold_above_list_lag6,avg_sale_to_list_ratio_lag3,avg_sale_to_list_ratio_lag6,home_value_vs_baseline_lag3,home_value_vs_baseline_lag6,sale_price_vs_baseline_lag3,sale_price_vs_baseline_lag6,inventory_vs_baseline_lag3,inventory_vs_baseline_lag6
27006,2018-01-31,245572.77543192625,220000.0,275007.5,102.974828375,47.0,96.0,140.0,130.0,0.9383503867,0.1063829787,0.32,4.032500000000001,0.56,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.0049938265279889,0.0382862202926026,-0.1235059760956175,-0.1431353456669912,0.1764705882352941,0.238938053097345,,,,,,,,,,,,,,,3.144539028515606,0.1336833344004097,23.522296497310943,,,,,,,,,,,,,,,,,,,,
27006,2018-02-28,246589.40870645663,258500.0,275007.5,99.652590015,64.0,122.0,143.0,135.0,0.9550361895,0.125,0.4516129032,4.33,0.735,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.0041398451955525,0.0387851519351793,0.175,0.1070663811563168,0.0214285714285713,0.2767857142857142,,,,,,,,,,,,,,,3.1575569333050337,0.1336833344004097,23.6196751634537,,,,,,,,,,,,,,,,,,,,
27006,2018-03-31,247588.19383273405,261000.0,280000.0,105.925565725,88.0,123.0,130.0,115.5,0.9690784943,0.1818181818,0.4455445545,4.444,0.792,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.0040503975070007,0.0391339267431651,0.0096711798839459,0.211136890951276,-0.0909090909090909,0.0,0.004394689743514,0.0203884012627761,0.0356633562515915,0.1377337201666666,0.9541550235,0.4057191525666666,,,,0.0005207915966391,0.1495412938514358,,,,3.1703462940359057,0.1336833344004097,23.71534423685192,,,,,,,,,,,,,,,,,,,,
27006,2018-04-30,248070.69395518675,265100.0,273900.0,108.327691266,93.0,101.0,132.0,57.0,0.9672551231,0.1720430108,0.3516483516,4.4675,0.8075,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.0019488010109991,0.0364025908954308,0.0157088122605364,0.1727493917274938,0.0153846153846153,0.0076335877862594,0.0033796812378507,0.0667933307148274,-0.0180319680319681,0.1596203975333333,0.9637899356333334,0.4162686031,,,,0.0012399854394077,0.0937583367467754,,,,3.1765246680989403,0.1336833344004097,23.761560723676894,,,,,0.0049938265279889,,-0.1235059760956175,,0.1764705882352941,,0.1063829787,,0.9383503867,,,,,,,
27006,2018-05-31,248487.80881024152,260050.0,261700.0,109.290569517,92.0,85.0,132.0,67.0,0.9589890655,0.2173913043,0.2625,4.586,0.796,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.0016814354344092,0.0347297335283875,-0.0190494153149755,0.1180137575236457,0.0,-0.0704225352112676,0.0025602113174696,0.0021101922765022,-0.0251748251748251,0.1904174989666666,0.9651075609666666,0.3532309687,,,,0.0012974445065158,0.0185717526434019,,,,3.1818657892341573,0.1336833344004097,23.801514253854556,,,,,0.0041398451955525,,0.175,,0.0214285714285713,,0.125,,0.9550361895,,,,,,,
27006,2018-06-30,248776.221044854,259000.0,267450.0,108.120437956,79.0,93.0,140.0,71.0,0.9626323815,0.2151898734,0.2236842105,4.57,0.7525000000000001,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.0011606695555543,0.0345314750967742,-0.0040376850605652,0.01171875,0.0606060606060605,0.1111111111111111,0.0015969686669875,-0.0024594293716681,0.0253302253302252,0.2015413961666667,0.9629588567,0.2792775207,,,,0.0004007976719797,0.0174327784449989,,,,3.185558883985581,0.1336833344004097,23.82913994682509,,,,,0.0040503975070007,,0.0096711798839459,,-0.0909090909090909,,0.1818181818,,0.9690784943,,,,,,,
27006,2018-07-31,249587.53748099832,241300.0,259000.0,103.894375937,74.0,92.0,127.0,91.0,0.9609881579,0.2027027027,0.243902439,4.5275,0.6925,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.0032612298423733,0.0377433258541608,-0.0683397683397682,-0.0151020408163264,-0.0928571428571428,-0.0230769230769231,0.0020344449441122,-0.0304756229051029,-0.0107503607503607,0.2117612934666667,0.9608698683,0.2433622165,,,,0.0010938693546744,0.0336393838146733,,,,3.1959477236826728,0.1336833344004097,23.90685224913777,,,,,0.0019488010109991,0.0049938265279889,0.0157088122605364,-0.1235059760956175,0.0153846153846153,0.1764705882352941,0.1720430108,0.1063829787,0.9672551231,0.9383503867,,,,,,
27006,2018-08-31,250530.16504511936,240000.0,264900.0,107.187894073,73.0,88.0,127.0,95.5,0.9727557615,0.1643835616,0.1728395062,4.55,0.6759999999999999,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.003776741313427,0.0406929131752971,-0.0053874844591794,-0.0204081632653061,0.0,-0.0522388059701492,0.0027328802371182,-0.0259216459531709,-0.0107503607503607,0.1940920459,0.9654587669666668,0.2134753852333333,,,,0.00138575713587,0.0367413706835684,,,,3.2080179914862583,0.1336833344004097,23.997142245701088,,,,,0.0016814354344092,0.0041398451955525,-0.0190494153149755,0.175,0.0,0.0214285714285713,0.2173913043,0.125,0.9589890655,0.9550361895,,,,,,
27006,2018-09-30,251373.3409098254,239000.0,264900.0,107.734074425,72.0,71.0,120.0,92.0,0.9839588709,0.1527777778,0.196969697,4.6275,0.69,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.0033655662365217,0.0418894742403663,-0.0041666666666666,0.091324200913242,-0.0551181102362204,-0.04,0.0034678457974406,-0.0259646398218714,-0.0493250843644544,0.1732880140333333,0.9725675967666666,0.2045705474,,,,0.0002725506386588,0.0367030140002402,,,,3.2188147885245586,0.1336833344004097,24.077906217416228,,,,,0.0011606695555543,0.0040503975070007,-0.0040376850605652,0.0096711798839459,0.0606060606060605,-0.0909090909090909,0.2151898734,0.1818181818,0.9626323815,0.9690784943,,,,,,
27006,2018-10-31,251924.0706647093,250000.0,282240.0,108.580289456,67.0,53.0,109.0,99.0,0.9875498617,0.2089552239,0.1851851852,4.83,0.75,78095.0,228900.0,870.0,0.8747621518768379,302.0,2975.0,35.04638655462185,6980.0,682650.0,5998.0,0.0021908836986872,0.0407612209405754,0.0460251046025104,0.0,-0.0916666666666666,-0.113821138211382,0.0031110637495453,0.0121569844922214,-0.048928258967629,0.1753721877666666,0.9814214980333332,0.1849981294666666,,,,0.0008229913307349,0.029337003406523,,,,3.2258668373738306,0.1336833344004097,24.130658109646483,,,,,0.0032612298423733,0.0019488010109991,-0.0683397683397682,0.0157088122605364,-0.0928571428571428,0.0153846153846153,0.2027027027,0.1720430108,0.9609881579,0.9672551231,,,,,,
