zip,home_value_index_mean,home_value_yoy_pct_mean,home_value_mom_12m_avg_mean,home_value_accel_mean,pct_sold_above_list_mean,avg_sale_to_list_ratio_mean,pct_off_market_in_2wks_mean,median_days_on_market_mean,inventory_mean,inventory_mom_pct_mean,inventory_accel_mean,price_to_income_ratio_mean,median_household_income_mean,owner_occupancy_rate_mean,home_value_vs_baseline_mean,sale_price_vs_baseline_mean,home_value_yoy_pct_slope,home_value_accel_slope,pct_sold_above_list_slope,inventory_mom_pct_slope,home_value_vs_baseline_slope,sale_price_vs_baseline_slope
27006,318864.97716339707,0.0863489939981337,0.0068574241151551,6.796518614911818e-05,0.3162161490019999,0.9874542597927272,0.4986402501236364,44.17272727272727,64.14545454545454,-0.0130652666861936,-0.0050194970167818,3.692673839184665,86016.81818181818,0.8990026515948176,0.0382350604259391,0.0454282777126811,0.0003004888327623,-6.342306013252161e-05,0.002553152283518,0.0005240656941744,-4.857144439513882e-05,-0.0001786734307016
27009,234119.5440907876,0.0984438663729339,0.00778663685202,0.0001477177181118,0.45593361184,1.0066779167236364,0.5850616394236363,41.06363636363636,8.727272727272727,0.1082116576234223,0.0005535878263151,2.695363859435452,86817.32727272727,0.9381154478669176,0.0434615759891182,0.0669782302074265,0.0003628322563802,-4.6605811970834704e-05,0.0049114527848412,0.0016621994916494,2.1297020990592263e-05,0.0002313754978738
27011,173218.36731251294,0.0917839978976602,0.0073362604571479,2.066754474343092e-05,0.3844074285763636,0.989700806970909,0.6175599341218182,35.93636363636364,6.072727272727272,0.0884848484848485,0.0010706465251919,3.397704367109562,51044.16363636364,0.7601444359477291,0.0411771523227109,0.0537608817441364,-0.0001662881600665,-2.0986977512039627e-05,0.0010973290213564,0.0020108266753288,-0.0001316517618019,0.0008063018130934
27012,306597.41136390093,0.0919744774983064,0.0072833761037276,-0.0001152534949799,0.4191081920436363,1.0017270887763636,0.5769770033454545,35.1,104.54545454545456,-0.0096144455529902,-0.0018307850354215,3.4683527425718848,88105.10909090909,0.8141037528453675,0.0402099180409146,0.0470283868032429,0.0003085226575107,-4.595986759946773e-05,0.0012898814776046,0.0005938541811408,-1.601480519722674e-05,-0.0003297165125297
27013,236972.69352018397,0.1119611264298904,0.0087951012372273,-0.0002044501715641,0.2693358393490909,0.9758831379636363,0.4963296126672727,61.14545454545455,13.836363636363636,0.0329428872406637,-0.0026510865087419,4.357881822570578,54288.09090909091,0.7988579596867686,0.0484798698776431,0.0648168141398208,-0.0007592459771212,-4.411228978403987e-05,0.0028267810956363,0.0011589975949906,-0.000473327189297,0.0014905257965388
27017,173936.2629929867,0.1135680640655472,0.0088663698386184,0.0006523885730431,0.2994674517405454,0.9719222710909092,0.4575902858454546,53.97272727272728,10.927272727272728,0.0298523361899382,-0.0018208086203442,3.002463028541874,57949.09090909091,0.7482839181356088,0.0512253616363542,0.0519270420492498,0.0005311664123431,1.4227641449861644e-06,0.0010061889770699,0.0002378248799113,0.0002314490889131,-0.000220793589382
27018,204681.21931160887,0.0885927813621955,0.0070819018486776,5.1278603360813405e-05,0.4221636538090909,0.9915867547090907,0.5133040678709091,49.79090909090909,8.309090909090909,0.0354361042997406,-0.0030157147920305,3.506854055493862,58302.32727272727,0.8342789690544393,0.0400717297457015,0.0835163129976795,-0.0001480913025382,-7.633953430417549e-05,0.0043349676802453,0.0015119516526442,-0.0002560937433351,-0.0005159197104178
27020,187594.8112773837,0.0812301764834575,0.0065190083094482,-4.065881083264189e-05,0.4151901129145454,0.9927222714163636,0.5232103754818181,51.70909090909091,4.418181818181818,0.1373287823287823,-0.0040169552669552,3.964635489177753,47267.41818181818,0.7445618123227514,0.0366306766215493,0.110008999153478,-0.000384885372154,-2.634328661340261e-05,-0.0028610556909596,0.0057232538184919,-0.0002465295857108,0.0033532584343379
27021,208160.8000844526,0.0995574170260574,0.0079047134778103,-4.2257977777555474e-05,0.3963872007145454,0.9923798651,0.5520701786636364,37.10909090909091,60.8,-0.0014078253458857,-0.0003142370489451,3.657749266220353,56692.472727272725,0.7425264495033591,0.0437590418052401,0.0643886744126387,-0.0002702316557741,-3.194306106595242e-05,-0.0013139452853896,0.0001558616987979,-0.0002115295629334,-0.0002413200557183
27023,309891.3494673333,0.0925278236411284,0.0073355333728303,-7.667153561186177e-05,0.3670779971941818,0.993164819110909,0.5653302748345455,41.845454545454544,52.14545454545455,-0.0030992813791508,0.0010963748326443,3.643317924037341,84683.21818181819,0.8390719435326557,0.0404466201151392,0.0440821407938844,0.0005711345947441,-2.196446416128205e-05,0.0012482961655735,0.0009987237144535,0.0001527288767478,-0.0010881465607121
27025,177098.5761502272,0.0887040814022192,0.0070388077078897,-8.138343603036026e-05,0.3338830806341818,0.9814755612109092,0.51833818518,40.80909090909091,18.89090909090909,0.0099266377340305,0.0103377650319522,3.598460544924219,49105.43636363636,0.8212267899617848,0.0389110451751728,0.0663877628735348,-0.0019589128974774,-1.834998750149124e-06,-0.0004000381737445,0.0004622242863122,-0.0008853517093885,7.973736012147824e-05
27027,123585.9875452958,0.115177729622534,0.0090569522155963,-0.000171264074956,0.3242626298296364,0.9793572762072728,0.5347052487018182,44.41818181818182,7.836363636363636,0.0760270967891288,0.0044683244315597,3.128683584658948,39334.34545454545,0.6208525367413618,0.0500427512207878,0.1107429623228998,-0.0010142599984057,-2.647614905996102e-05,0.0007499641335995,0.0033570726270306,-0.0005398489497426,0.0021717436251178
27028,218258.8791425657,0.0939201095667955,0.0074237808546029,-3.500764104831547e-05,0.3478576077072727,0.9903966868,0.5357719205818182,38.345454545454544,59.50909090909091,0.0045524696068136,-0.0011893616639853,3.9125340974351737,55570.781818181815,0.7755156245127126,0.0410418011450486,0.0377724827565026,-0.000420809232758,-4.3985594810418815e-05,0.0007032922193217,0.0013021647040264,-0.000351350307726,-0.0006326729358507
27030,161278.34128177914,0.1055635882057352,0.0082334157287455,0.0002934642738418,0.2475284811899999,0.9656460255945456,0.4734940809436364,44.91818181818182,80.78181818181818,0.000717608001429,0.0013863918131168,3.796711642365744,42255.29090909091,0.6920686558426451,0.046446666249168,0.0589380398145814,1.918446618491316e-05,-2.3593052948723167e-05,0.001252362313505,0.000366942186998,-9.35881306681012e-05,-0.0002458609749496
27040,261101.73234440343,0.1012371103299731,0.0079930836980432,-0.0002503206696122,0.3893806879670909,0.9957712035690908,0.5422063598745455,39.63636363636363,47.87272727272728,-0.0066237210063622,-0.0046641016484441,3.037644059309541,85527.94545454545,0.920786383490288,0.0437428561458498,0.0588019186579989,-9.734303580721054e-05,-3.5023223961780856e-05,0.0026561102299668,-0.0001322328178716,-0.0001756493498563,-0.002379747223616
27041,201086.1778812756,0.1014211867972259,0.0079878382803456,0.0003868657931143,0.2793067421616363,0.9752732955,0.5409505591927273,44.17272727272727,18.654545454545456,0.0123554386127842,-0.0025901029786121,3.610637724548976,55401.454545454544,0.7303465023156659,0.0454061421809062,0.0612074449805131,-0.000122117825672,-2.091666012369116e-06,0.0002881923861356,0.0020588417970869,-7.264638494645193e-05,-0.0004536511074306
