zip,redfin_coverage
27022,0.7277777777777779
27046,0.7986111111111112
27208,0.6736111111111112
27209,0.0
27212,0.0
27229,0.0
27242,0.3597222222222222
27291,0.0
27305,0.0
27306,0.0
27311,0.0
27314,0.0
27315,0.0
27356,0.0
27371,0.0
27379,0.0
27507,0.6944444444444443
27508,0.7374999999999999
27551,0.0
27553,0.0
27563,0.0
27589,0.0
27805,0.0
27810,0.0
27813,0.6847222222222221
27816,0.5861111111111112
27824,0.0
27826,0.0
27829,0.7263888888888889
27831,0.3486111111111111
27832,0.6444444444444445
27839,0.6680555555555555
27840,0.0
27843,0.0
27844,0.3361111111111112
27845,0.7374999999999999
27846,0.0
27847,0.0
27849,0.0
27853,0.1986111111111111
27855,0.0
27857,0.0
27860,0.7569444444444445
27862,0.3180555555555555
27866,0.1486111111111111
27869,0.7777777777777778
27871,0.0
27872,0.0
27875,0.0
27876,0.4819444444444444
