PERIOD_BEGIN,PERIOD_END,PERIOD_DURATION,REGION_TYPE,REGION_TYPE_ID,TABLE_ID,IS_SEASONALLY_ADJUSTED,REGION,CITY,STATE,STATE_CODE,PROPERTY_TYPE,PROPERTY_TYPE_ID,MEDIAN_SALE_PRICE,MEDIAN_SALE_PRICE_MOM,MEDIAN_SALE_PRICE_YOY,MEDIAN_LIST_PRICE,MEDIAN_LIST_PRICE_MOM,MEDIAN_LIST_PRICE_YOY,MEDIAN_PPSF,MEDIAN_PPSF_MOM,MEDIAN_PPSF_YOY,MEDIAN_LIST_PPSF,MEDIAN_LIST_PPSF_MOM,MEDIAN_LIST_PPSF_YOY,HOMES_SOLD,HOMES_SOLD_MOM,HOMES_SOLD_YOY,PENDING_SALES,PENDING_SALES_MOM,PENDING_SALES_YOY,NEW_LISTINGS,NEW_LISTINGS_MOM,NEW_LISTINGS_YOY,INVENTORY,INVENTORY_MOM,INVENTORY_YOY,MONTHS_OF_SUPPLY,MONTHS_OF_SUPPLY_MOM,MONTHS_OF_SUPPLY_YOY,MEDIAN_DOM,MEDIAN_DOM_MOM,MEDIAN_DOM_YOY,AVG_SALE_TO_LIST,AVG_SALE_TO_LIST_MOM,AVG_SALE_TO_LIST_YOY,SOLD_ABOVE_LIST,SOLD_ABOVE_LIST_MOM,SOLD_ABOVE_LIST_YOY,PRICE_DROPS,PRICE_DROPS_MOM,PRICE_DROPS_YOY,OFF_MARKET_IN_TWO_WEEKS,OFF_MARKET_IN_TWO_WEEKS_MOM,OFF_MARKET_IN_TWO_WEEKS_YOY,PARENT_METRO_REGION,PARENT_METRO_REGION_METRO_CODE,LAST_UPDATED,zip
2019-01-01,2019-03-31,90,zip code,2,12247,False,Zip Code: 29687,,South Carolina,SC,Single Family Residential,6,206500.0,0.01724137931,0.06306306306,215000.0,0.0002326122354,0.001630561379,111.830488523,0.02884049441,0.08295938582,115.505090055,0.006479350719,0.0537793662,121.0,0.1100917431,-0.0546875,171.0,0.1875,0.08917197452,175.0,0.2773722628,0.08024691358,197.0,0.02604166667,0.322147651,,,,77.0,14.0,24.0,0.9936127801,0.002665125587,0.008069721552,0.2314049587,0.02039578437,-0.04203254132,,,,0.4093567251,0.0274122807,-0.1193056952,"Greenville, SC",24860,2026-02-16 14:39:14.119000+00:00,29687
2014-01-01,2014-03-31,90,zip code,2,11638,False,Zip Code: 28602,,North Carolina,NC,Multi-Family (2-4 Unit),4,33500.0,0.0,,,,,17.197125257,0.0,,,,,1.0,0.0,,1.0,0.0,,,,,2.0,-0.3333333333,,,,,112.0,0.0,,0.8170731707,0.0,,0.0,0.0,,,,,0.0,0.0,,"Hickory, NC",25860,2026-02-16 14:39:14.119000+00:00,28602
2015-09-01,2015-11-30,90,zip code,2,41999,False,Zip Code: 29486,,South Carolina,SC,All Residential,-1,245000.0,0.071963772,0.1611649565,250000.0,0.006481742421,0.1186057698,103.773584906,0.0004485521091,0.095249246,105.826730968,0.001296275253,0.09656257405,201.0,-0.08636363636,0.1686046512,160.0,-0.01840490798,-0.05882352941,241.0,0.02991452991,0.1367924528,355.0,0.0113960114,0.3246268657,,,,106.0,8.0,5.0,0.996645652,0.006285662504,0.005521573205,0.2686567164,0.01411126187,0.07098229781,,,,0.25625,0.01085122699,0.15625,"Charleston, SC",16700,2026-02-16 14:39:14.119000+00:00,29486
2018-02-01,2018-04-30,90,zip code,2,11518,False,Zip Code: 28422,,North Carolina,NC,Single Family Residential,6,229995.0,-0.03363445378,0.4286291074,230000.0,-0.006779807402,0.3496464513,108.830137081,-0.05334385273,0.06917126687,118.990971853,0.003466352812,0.148242076,44.0,0.4666666667,0.1891891892,44.0,0.4666666667,0.1891891892,61.0,-0.1408450704,-0.39,108.0,-0.1,-0.28,,,,204.0,87.5,5.0,0.9845803711,-0.002893087078,0.004799766763,0.2045454545,0.004545454545,-0.0386977887,,,,0.0,0.0,-0.02702702703,"Myrtle Beach, SC",34820,2026-02-16 14:39:14.119000+00:00,28422
2020-06-01,2020-08-31,90,zip code,2,10854,False,Zip Code: 27284,,North Carolina,NC,Single Family Residential,6,256500.0,0.02069239952,0.1152173913,229950.0,-0.0366568915,0.022,115.357395612,0.01912902018,0.06102579895,116.795160004,0.006466330583,0.0493868164,294.0,0.05,0.08888888889,272.0,-0.03202846975,-0.02508960573,237.0,-0.01659751037,-0.1855670103,145.0,-0.02027027027,-0.2961165049,,,,33.0,0.0,-2.0,1.00099274,0.0005606507113,0.008744695316,0.4183673469,-0.00306122449,0.07021919879,,,,0.6213235294,0.01634132301,0.06576797386,"Winston-Salem, NC",49180,2026-02-16 14:39:14.119000+00:00,27284
2021-04-01,2021-06-30,90,zip code,2,11289,False,Zip Code: 28091,,North Carolina,NC,All Residential,-1,130000.0,,,124500.0,,,85.213414634,,,93.511450382,,,2.0,,,,,,7.0,,,5.0,,,,,,43.0,,,1.050175591,,,1.0,,,,,,0.8,,,"Charlotte, NC",16740,2026-02-16 14:39:14.119000+00:00,28091
2024-12-01,2025-02-28,90,zip code,2,11262,False,Zip Code: 28040,,North Carolina,NC,Single Family Residential,6,260000.0,0.1504424779,0.4364640884,265000.0,-0.01851851852,0.3151364764,178.475935829,0.09228855256,0.4239485475,175.906183369,-0.0815184051,0.1676111737,13.0,0.08333333333,0.1818181818,9.0,-0.25,-0.4375,15.0,0.07142857143,0.07142857143,18.0,0.0,0.125,,,,87.0,-2.5,30.0,0.9587791864,0.01419759947,0.05279747505,0.1538461538,0.07051282051,0.06293706294,,,,0.3333333333,0.0,0.1458333333,"Forest City, NC",22580,2026-02-16 14:39:14.119000+00:00,28040
2021-08-01,2021-10-31,90,zip code,2,11517,False,Zip Code: 28421,,North Carolina,NC,Single Family Residential,6,154900.0,-0.1392053348,-0.09415204678,287000.0,0.04363636364,1.20939184,122.727272727,0.1040640908,0.4612440191,180.352941176,0.2817725753,0.2578888738,3.0,-0.25,0.0,3.0,-0.25,0.0,6.0,-0.3333333333,5.0,7.0,-0.125,1.333333333,,,,59.0,-25.5,-279.0,0.9604156885,-0.01512620339,0.01539407173,0.0,-0.25,-0.3333333333,,,,0.0,0.0,0.0,"Wilmington, NC",48900,2026-02-16 14:39:14.119000+00:00,28421
2023-11-01,2024-01-31,90,zip code,2,10912,False,Zip Code: 27403,,North Carolina,NC,Single Family Residential,6,267500.0,-0.06140350877,0.2159090909,297250.0,0.0285467128,0.06560315469,193.477059149,-0.02841881623,0.1150131694,200.880088009,0.0005479452055,0.05549011818,53.0,-0.03636363636,0.6060606061,49.0,-0.05769230769,0.6896551724,56.0,-0.08196721311,1.0,36.0,0.09090909091,1.4,,,,31.0,1.0,6.0,0.9717217406,-0.003371575872,-0.01786164935,0.2452830189,0.02710120069,-0.1183533448,,,,0.4897959184,-0.02943485086,-0.02744546094,"Greensboro, NC",24660,2026-02-16 14:39:14.119000+00:00,27403
2014-03-01,2014-05-31,90,zip code,2,11276,False,Zip Code: 28075,,North Carolina,NC,All Residential,-1,245000.0,0.01659751037,0.02083333333,279900.0,0.01818843216,0.01781818182,90.62170706,-0.002055949548,0.03640911588,97.50667854,0.001389955969,0.02030723681,69.0,0.1694915254,-0.06756756757,,,,139.0,0.2086956522,0.1583333333,194.0,0.2125,0.2597402597,,,,118.0,0.0,21.5,0.9683397469,-0.0005226123625,-0.003943924041,0.1014492754,-0.01719479243,-0.1012534273,,,,0.1685393258,-0.0001353729525,-0.06146067416,"Charlotte, NC",16740,2026-02-16 14:39:14.119000+00:00,28075
