month,has_zillow,has_redfin,has_acs,has_cbp,has_soi,has_pmms
2018-01-31,0.9387755102040816,0.7393320964749536,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-02-28,0.950834879406308,0.7458256029684601,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-03-31,0.950834879406308,0.74860853432282,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-04-30,0.950834879406308,0.7458256029684601,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-05-31,0.9499072356215214,0.7421150278293135,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-06-30,0.9499072356215214,0.75139146567718,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-07-31,0.9499072356215214,0.7476808905380334,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-08-31,0.9499072356215214,0.7458256029684601,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-09-30,0.9526901669758812,0.7430426716141002,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-10-31,0.9526901669758812,0.75139146567718,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-11-30,0.9526901669758812,0.7421150278293135,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2018-12-31,0.9526901669758812,0.7402597402597403,0.9962894248608536,0.9962894248608536,0.976808905380334,1.0
2019-01-31,0.9526901669758812,0.7476808905380334,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-02-28,0.963821892393321,0.7551020408163265,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-03-31,0.963821892393321,0.7578849721706865,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-04-30,0.963821892393321,0.7569573283858998,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-05-31,0.963821892393321,0.7551020408163265,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-06-30,0.963821892393321,0.7560296846011132,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-07-31,0.963821892393321,0.7504638218923934,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-08-31,0.963821892393321,0.7532467532467533,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-09-30,0.963821892393321,0.7532467532467533,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-10-31,0.963821892393321,0.7532467532467533,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-11-30,0.963821892393321,0.7523191094619666,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2019-12-31,0.963821892393321,0.7476808905380334,0.9962894248608536,0.9953617810760668,0.976808905380334,1.0
2020-01-31,0.963821892393321,0.7439703153988868,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-02-29,0.9647495361781075,0.74860853432282,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-03-31,0.9666048237476808,0.7458256029684601,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-04-30,0.9666048237476808,0.74860853432282,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-05-31,0.9666048237476808,0.7569573283858998,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-06-30,0.9666048237476808,0.7588126159554731,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-07-31,0.9666048237476808,0.7634508348794063,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-08-31,0.9666048237476808,0.7551020408163265,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-09-30,0.9647495361781075,0.7597402597402597,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-10-31,0.9666048237476808,0.7634508348794063,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-11-30,0.9666048237476808,0.7578849721706865,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2020-12-31,0.9666048237476808,0.7578849721706865,0.9962894248608536,0.9953617810760668,0.9777365491651204,1.0
2021-01-31,0.9666048237476808,0.7625231910946196,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-02-28,0.9693877551020408,0.7597402597402597,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-03-31,0.9693877551020408,0.7578849721706865,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-04-30,0.9693877551020408,0.7597402597402597,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-05-31,0.9693877551020408,0.7634508348794063,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-06-30,0.9693877551020408,0.7717996289424861,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-07-31,0.9693877551020408,0.7699443413729128,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-08-31,0.9693877551020408,0.7671614100185529,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-09-30,0.9693877551020408,0.7662337662337663,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-10-31,0.9693877551020408,0.7680890538033395,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-11-30,0.9693877551020408,0.764378478664193,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2021-12-31,0.9693877551020408,0.7551020408163265,0.9990723562152134,0.9962894248608536,0.976808905380334,1.0
2022-01-31,0.9693877551020408,0.7551020408163265,0.9990723562152134,0.99721706864564,0.0,1.0
2022-02-28,0.9814471243042672,0.7597402597402597,0.9990723562152134,0.99721706864564,0.0,1.0
