zip,avg_missing_rate
28136,0.8799833310181969
28017,0.8799833310181969
28042,0.8791498819280456
28646,0.8499791637727462
29074,0.8424781219613836
29175,0.8268509515210445
27875,0.8256007778858175
29065,0.8216418947075982
29446,0.8208084456174468
28455,0.8195582719822198
27872,0.819141547437144
29584,0.8189331851646062
28439,0.8187248228920683
29082,0.8183080983469927
29741,0.8180997360744547
29727,0.8180997360744547
28442,0.8178913738019169
28436,0.8178913738019169
28430,0.8178913738019169
28432,0.8178913738019169
28438,0.8178913738019169
29547,0.8176830115293791
29563,0.8176830115293791
29683,0.8145575774413113
27840,0.8141408528962356
27847,0.8133074038060842
27849,0.8133074038060842
29015,0.8133074038060842
29941,0.8128212251701624
29929,0.8116405056257814
29922,0.8116405056257812
29081,0.809348520627865
29042,0.8085150715377136
28385,0.8083067092651757
27957,0.8072648979024863
29518,0.8072648979024863
29333,0.8069176274482566
29916,0.8066398110848728
28775,0.806431448812335
28423,0.8058063619947214
28622,0.8058063619947214
28393,0.8058063619947214
28631,0.8051812751771079
29848,0.8049729129045701
27980,0.8049729129045701
29564,0.8047645506320321
27563,0.8033060147242672
29546,0.8033060147242672
29101,0.8033060147242672
28663,0.8026809279066537
