zip,has_zillow,has_redfin,has_acs,has_cbp,has_soi,has_pmms
27006,0.6517571884984026,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27007,0.4249201277955272,0.4952076677316294,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27009,0.9968051118210862,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27011,0.5399361022364217,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27012,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27013,1.0,0.4920127795527156,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27014,0.6166134185303515,0.4824281150159744,0.3833865814696485,0.1916932907348242,0.0383386581469648,1.0
27016,0.8498402555910544,0.463258785942492,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27017,0.6549520766773163,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27018,0.5399361022364217,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27019,1.0,0.5239616613418531,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27020,0.9936102236421726,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27021,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27022,1.0,0.3801916932907348,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27023,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27024,0.4249201277955272,0.5111821086261981,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27025,0.977635782747604,0.4408945686900958,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27027,0.9680511182108626,0.4408945686900958,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27028,0.6549520766773163,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27030,0.7188498402555911,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27040,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27041,0.8785942492012779,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27043,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27045,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27046,1.0,0.4600638977635782,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27048,0.9840255591054312,0.4408945686900958,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27050,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27051,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27052,0.9968051118210862,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27053,1.0,0.5303514376996805,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27054,1.0,0.4728434504792332,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27055,0.5399361022364217,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27101,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27103,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27104,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27105,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27106,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27107,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27127,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27203,1.0,0.4408945686900958,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27205,0.9936102236421726,0.4408945686900958,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27207,0.952076677316294,0.5207667731629393,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27208,0.9712460063897764,0.3961661341853035,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27209,1.0,0.0,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27212,0.8402555910543131,0.0,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27214,1.0,0.4408945686900958,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27215,0.9904153354632588,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27217,1.0,0.5335463258785943,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27229,1.0,0.0,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
27231,0.8242811501597445,0.5175718849840255,0.3833865814696485,0.1916932907348242,0.3450479233226837,1.0
