STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N20950,A20950,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
37,NC,27013,1,1130,720,190,200,1030,50,580,760,1630,490,30,0,30,0,200,230,14201,1130,14439,880,10855,140,61,80,75,80,50,0,0,200,1215,60,55,70,413,160,1318,30,30,87,60,109,0,0,200,238,20,6,0,0,40,98,0,0,20,19,0,0,0,0,60,873,900,40,347,30,21,30,18,40,57,50,7,60,109,30,166,0,0,0,0,0,0,0,0,50,95,0,0,0,0,470,2672,490,287,0,0,30,11,130,36,0,0,0,0,20,11,60,9,40,13,0,0,170,226,90,766,100,832,30,15,1040,2369,440,1031,370,880,240,280,40,29,60,35,410,251,580,498,0,0,0,0,100,85,980,1955,970,1949,0,0
37,NC,27013,2,720,320,220,150,660,30,380,530,1450,510,0,0,0,0,170,130,26076,720,26406,640,22031,140,100,70,115,70,90,60,43,110,856,60,208,50,489,120,1855,30,0,0,120,700,50,259,150,330,0,0,0,0,0,0,30,151,50,43,0,0,0,0,110,1572,3992,50,325,80,152,40,34,90,119,80,19,110,308,70,347,0,0,0,0,30,23,0,0,80,316,50,335,0,0,690,13117,690,1604,0,0,40,33,310,248,30,1,30,12,30,33,150,32,180,164,0,0,80,184,70,560,60,446,50,37,700,3096,210,429,150,308,120,192,30,21,20,23,570,1356,620,1589,0,0,0,0,110,143,610,1640,600,1598,30,411
37,NC,27013,3,470,120,290,60,420,40,280,320,1130,380,0,0,0,0,70,100,28721,470,28927,430,24171,130,105,60,167,60,115,80,43,80,331,50,265,50,541,120,2048,30,30,109,80,998,30,442,100,206,0,0,0,0,20,238,0,0,30,36,0,0,0,0,140,2265,8501,30,278,130,353,0,0,120,175,100,27,140,571,100,567,0,0,0,0,0,0,0,0,100,436,50,338,0,0,470,18192,460,2468,0,0,0,0,220,293,40,3,40,17,30,33,50,9,150,237,0,0,50,120,0,0,20,172,20,23,460,3169,0,0,0,0,20,38,20,17,0,0,440,2175,450,2318,0,0,0,0,100,195,360,1015,360,999,0,0
37,NC,27013,4,220,30,180,0,210,0,130,140,570,170,0,0,0,0,40,60,19197,220,19296,200,15602,80,109,40,65,40,47,60,35,40,278,40,58,30,599,60,1396,0,0,0,50,941,0,0,60,99,30,7,0,0,0,0,0,0,30,25,0,0,0,0,100,1878,8929,20,128,100,406,0,0,90,138,90,28,100,575,80,545,0,0,0,0,0,0,0,0,90,409,30,208,0,0,220,13527,220,1955,0,0,0,0,110,172,0,0,0,0,30,32,0,0,80,119,0,0,30,48,0,0,0,0,0,0,220,2209,0,0,0,0,0,0,20,19,0,0,220,1783,220,1857,0,0,0,0,60,142,160,492,160,478,0,0
37,NC,27013,5,230,20,210,0,220,0,160,130,670,220,0,0,0,0,0,80,29586,230,30138,220,24037,110,45,60,153,50,125,90,87,50,650,70,969,40,1039,90,3012,40,0,0,50,1272,40,2787,90,552,0,0,0,0,0,0,0,0,40,41,0,0,0,0,170,3794,22108,30,268,160,1043,0,0,160,338,140,51,170,1448,160,1200,0,0,0,0,0,0,0,0,150,765,50,354,0,0,230,22251,230,3637,0,0,0,0,120,183,20,4,20,15,40,56,0,0,60,90,0,0,30,158,0,0,0,0,0,0,230,3863,0,0,0,0,0,0,40,35,0,0,230,3467,230,3591,0,0,0,0,80,348,170,1077,160,659,0,0
37,NC,27013,6,40,0,30,0,30,0,30,0,90,30,0,0,0,0,0,0,12670,40,12670,30,5085,30,35,20,228,20,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1852,12140,0,0,30,638,0,0,30,109,30,11,40,766,0,0,0,0,0,0,0,0,0,0,30,797,0,0,0,0,40,10522,40,2757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2940,0,0,0,0,0,0,0,0,0,0,40,2730,40,2861,0,0,0,0,20,390,0,0,0,0,0,0
37,NC,27016,1,260,170,50,30,240,0,160,160,360,90,0,0,0,0,30,80,3259,260,3301,190,2319,50,16,30,26,20,30,20,11,40,207,20,-2,20,106,40,478,20,0,0,20,50,0,0,50,42,0,0,0,0,0,0,0,0,20,19,0,0,0,0,30,589,877,20,183,0,0,0,0,30,57,0,0,30,102,0,0,0,0,0,0,0,0,0,0,30,69,20,61,0,0,120,620,120,69,0,0,0,0,20,8,0,0,0,0,0,0,0,0,0,0,0,0,60,72,40,396,40,423,20,18,240,469,90,188,70,162,40,48,0,0,0,0,110,61,140,108,0,0,0,0,40,17,210,383,210,383,0,0
37,NC,27016,2,180,80,70,40,170,40,120,120,350,100,0,0,0,0,40,60,6627,180,6708,150,5047,50,31,20,23,20,19,0,0,40,371,40,93,20,245,50,932,0,0,0,50,326,0,0,30,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,3344,180,405,0,0,0,0,70,44,20,0,0,0,0,0,60,12,40,32,0,0,0,0,0,0,0,0,0,0,180,791,50,92,30,72,30,34,0,0,0,0,150,360,160,399,0,0,0,0,30,39,160,430,150,430,0,0
37,NC,27016,3,130,50,80,0,110,0,90,70,280,70,0,0,0,0,0,50,7792,130,7830,110,5542,40,14,30,117,30,71,0,0,0,0,0,0,30,567,50,1131,30,0,0,40,581,0,0,20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,486,1789,30,276,50,106,0,0,30,35,50,13,30,115,0,0,0,0,0,0,0,0,0,0,20,74,0,0,0,0,130,5101,130,686,0,0,0,0,50,60,0,0,0,0,40,37,0,0,30,45,0,0,20,64,0,0,0,0,0,0,130,868,0,0,0,0,0,0,40,27,0,0,120,627,120,678,0,0,0,0,30,64,90,253,90,253,0,0
37,NC,27016,4,80,0,60,0,70,0,60,50,210,70,0,0,0,0,0,20,6451,80,6537,70,5007,30,7,30,80,30,69,30,25,20,33,30,215,0,0,30,688,0,0,0,40,771,0,0,40,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,444,2274,0,0,20,105,0,0,30,33,0,0,30,149,20,106,0,0,0,0,0,0,0,0,20,142,0,0,0,0,80,4563,80,643,0,0,0,0,40,58,0,0,0,0,0,0,0,0,40,58,0,0,0,0,0,0,0,0,0,0,80,753,0,0,0,0,0,0,0,0,0,0,80,586,80,626,0,0,0,0,40,200,50,184,50,178,0,0
37,NC,27016,5,60,0,50,0,60,0,50,30,160,40,0,0,0,0,0,30,8915,60,8915,50,5156,40,30,0,0,0,0,0,0,0,0,0,0,0,0,20,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,860,5634,0,0,30,264,0,0,30,57,20,7,30,302,20,166,0,0,0,0,0,0,0,0,30,174,0,0,0,0,60,6508,60,1108,0,0,0,0,30,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1120,0,0,0,0,0,0,0,0,0,0,60,1083,60,1081,0,0,0,0,0,0,40,145,30,120,0,0
37,NC,27016,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,NC,27017,1,1430,820,300,280,1250,130,850,890,2300,780,0,0,0,0,240,320,18221,1430,18564,1080,13781,230,87,70,104,70,76,0,0,260,1998,70,108,100,587,200,1741,30,0,0,80,142,0,0,250,343,0,0,0,0,50,184,0,0,0,0,0,0,0,0,50,799,762,40,374,0,0,20,13,40,47,30,5,50,94,20,103,0,0,0,0,0,0,0,0,30,84,0,0,0,0,550,3077,580,360,0,0,60,16,180,57,20,1,0,0,40,22,80,13,60,18,0,0,220,335,120,1101,130,1208,40,18,1290,3155,510,1380,450,1172,330,422,40,29,60,28,470,303,670,658,0,0,0,0,140,134,1210,2625,1210,2619,0,0
37,NC,27017,2,980,350,420,170,870,70,620,680,2250,850,0,0,0,0,180,200,34692,980,35015,850,28410,200,158,60,137,60,97,60,23,140,1481,60,250,60,659,160,2891,40,50,83,170,1060,40,99,160,323,0,0,0,0,0,0,0,0,50,53,0,0,0,0,110,1630,4046,60,429,100,157,20,17,80,101,60,16,110,266,70,345,0,0,0,0,0,0,0,0,80,252,50,391,0,0,920,15629,920,1882,0,0,70,55,450,344,0,0,40,15,50,37,190,46,260,239,0,0,100,287,100,783,80,690,80,61,950,4048,290,646,230,499,240,366,40,29,30,19,700,1538,770,1890,0,0,0,0,120,238,850,2378,850,2371,0,0
37,NC,27017,3,500,100,360,50,460,30,330,290,1270,410,0,0,0,0,60,130,30895,500,31190,440,24450,180,132,70,150,70,123,50,23,80,613,60,156,50,617,130,3046,30,0,0,120,1677,30,446,110,295,50,14,0,0,20,107,0,0,30,35,0,0,0,0,110,1952,6774,40,455,100,258,30,32,90,142,80,20,110,437,80,408,0,0,0,0,0,0,0,0,90,414,30,204,0,0,500,19308,500,2570,0,0,0,0,240,345,30,2,40,18,30,34,80,12,170,267,0,0,50,162,0,0,20,152,40,36,490,3092,0,0,0,0,30,27,20,18,0,0,470,2226,470,2438,0,0,0,0,140,272,360,922,360,913,0,0
37,NC,27017,4,280,40,240,0,250,20,200,170,760,230,0,0,0,0,40,90,24440,280,24650,250,18529,150,79,70,199,70,130,60,29,40,336,60,259,40,722,90,2608,20,0,0,80,1651,0,0,80,210,0,0,0,0,0,0,40,173,30,18,0,0,0,0,110,2222,9813,20,253,110,419,0,0,100,173,90,26,110,626,90,560,0,0,0,0,0,0,0,0,100,527,30,242,0,0,280,17001,280,2348,0,0,0,0,140,231,0,0,30,16,40,44,0,0,110,159,0,0,30,130,0,0,0,0,0,0,280,2720,0,0,0,0,0,0,30,22,0,0,280,2117,280,2278,0,0,0,0,80,249,200,689,200,677,0,0
37,NC,27017,5,250,0,240,0,220,40,170,130,740,250,0,0,0,0,0,100,32663,250,33052,230,23963,150,92,60,393,60,342,100,62,60,1392,60,450,50,2013,100,3945,40,0,0,80,1801,30,1171,100,389,20,5,0,0,30,324,0,0,20,27,0,0,0,0,180,3969,23535,30,223,170,1058,0,0,170,311,140,45,180,1428,170,1128,0,0,0,0,0,0,0,0,170,1095,30,329,0,0,250,24634,250,4023,20,142,0,0,130,189,30,23,30,10,30,43,0,0,70,94,0,0,50,252,0,0,0,0,0,0,250,4180,0,0,0,0,0,0,30,25,0,0,250,3858,250,4030,0,0,0,0,120,1569,160,587,160,714,40,748
37,NC,27017,6,50,0,40,0,30,0,40,0,110,20,0,0,0,0,0,0,26338,50,26912,40,7083,40,201,30,1273,20,731,20,245,0,0,30,6270,0,0,0,0,0,0,0,0,0,30,5691,30,574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7291,24430,0,0,40,1120,0,0,40,273,30,9,40,1404,0,0,0,0,0,0,0,0,0,0,40,684,0,0,0,0,50,18784,50,4686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4856,0,0,0,0,0,0,0,0,0,0,50,4641,50,5115,0,0,30,321,0,0,30,857,0,0,0,0
37,NC,27018,1,1180,790,190,180,1090,70,630,780,1620,450,50,50,0,0,210,290,14775,1180,14991,900,10633,210,137,110,201,100,140,0,0,160,998,80,62,120,777,220,1912,20,0,0,80,148,0,0,190,216,0,0,0,0,0,0,0,0,20,23,0,0,0,0,70,1021,971,50,535,30,26,30,25,50,77,40,10,70,169,20,110,0,0,0,0,0,0,0,0,50,132,0,0,0,0,500,2920,500,313,0,0,40,13,130,33,0,0,0,0,0,0,70,12,40,9,0,0,140,178,90,794,100,878,30,14,1080,2251,400,920,340,813,220,240,30,18,50,25,430,280,560,483,0,0,0,0,110,82,1010,1849,1010,1848,0,0
37,NC,27018,2,860,360,340,150,790,60,500,610,1750,550,0,0,0,0,150,190,31033,860,31321,740,24608,170,84,90,234,90,195,70,24,120,865,90,282,80,758,190,3132,30,40,107,180,1297,30,140,150,288,30,6,0,0,40,150,30,120,30,23,0,0,0,0,110,1769,4215,70,624,80,140,30,29,90,133,90,19,110,322,70,292,0,0,0,0,0,0,0,0,90,307,50,239,0,0,830,15063,820,1833,0,0,40,58,370,262,30,1,40,16,50,37,200,42,200,174,0,0,90,205,80,720,70,668,70,53,850,3576,230,482,180,390,170,246,30,22,30,20,680,1572,730,1822,0,0,0,0,130,204,730,1947,730,1942,0,0
