STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,ELF,CPREP,PREP,DIR_DEP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,N20950,A20950,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11900,A11900,N11902,A11902,N12000,A12000
37,NC,27007,5,100,0,90,0,90,0,70,40,270,80,0,0,0,0,0,30,13991,100,14136,90,10353,60,29,40,54,30,41,30,27,0,0,30,275,0,0,30,1130,0,0,0,20,628,0,0,40,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1440,9827,0,0,60,475,0,0,60,115,50,16,60,622,50,380,0,0,0,0,0,0,0,0,60,255,0,0,0,0,100,10893,100,1952,0,0,0,0,40,56,0,0,0,0,0,0,0,0,20,21,0,0,0,0,0,0,0,0,0,0,100,2138,0,0,0,0,0,0,0,0,0,0,100,1895,100,2015,0,0,0,0,40,191,50,275,50,254,0,0
37,NC,27007,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,NC,27009,1,370,260,50,50,330,20,170,240,470,120,0,0,0,0,40,90,4569,370,4641,270,3031,60,20,20,29,20,25,0,0,60,401,30,1,40,311,80,659,0,20,75,30,89,0,0,70,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,506,472,0,0,0,0,30,22,20,40,0,0,30,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,990,160,111,0,0,0,0,40,16,0,0,0,0,0,0,20,4,0,0,0,0,50,82,30,254,30,261,20,16,340,701,120,240,100,196,60,60,20,18,30,22,140,94,180,181,0,0,0,0,40,33,320,550,310,546,0,0
37,NC,27009,2,290,140,90,40,260,30,140,200,500,130,0,0,0,0,50,80,10507,290,10631,240,8291,80,57,30,71,30,53,30,8,40,404,30,53,30,322,60,943,30,0,0,70,441,30,-30,60,124,30,7,0,0,0,0,0,0,30,26,0,0,0,0,60,942,2448,50,351,70,115,0,0,50,88,60,14,60,207,60,315,0,0,0,0,0,0,0,0,70,208,30,123,0,0,280,5491,280,676,0,0,30,41,110,78,0,0,0,0,0,0,50,12,70,52,0,0,30,75,30,260,40,301,0,0,280,1197,60,115,40,74,40,54,0,0,0,0,250,598,260,689,0,0,0,0,30,32,250,538,250,533,20,400
37,NC,27009,3,220,70,120,40,200,0,120,140,490,150,0,0,0,0,30,60,13509,220,13642,190,10578,70,48,40,87,30,58,50,15,40,248,40,220,60,785,60,1043,0,0,0,50,785,0,0,60,133,0,0,0,0,40,269,0,0,20,27,0,0,0,0,80,1419,5047,20,153,80,219,0,0,70,109,70,20,80,353,60,328,0,0,20,4,30,25,0,0,60,212,40,374,0,0,220,8585,220,1185,0,0,0,0,100,146,30,0,40,21,50,56,20,4,60,91,0,0,50,75,0,0,0,0,0,0,220,1468,0,0,0,0,0,0,20,19,0,0,210,1039,210,1122,0,0,0,0,50,133,170,477,170,474,0,0
37,NC,27009,4,160,30,120,0,150,20,100,110,370,90,0,0,0,0,30,50,13596,160,13672,140,10770,60,57,40,157,40,121,40,17,30,124,30,156,0,0,50,1167,0,0,0,40,697,0,0,50,76,0,0,0,0,0,0,0,0,30,28,0,0,0,0,70,1288,6090,30,294,60,254,0,0,70,114,50,14,70,397,60,312,0,0,0,0,0,0,0,0,60,256,0,0,0,0,160,9738,160,1406,0,0,0,0,60,92,0,0,0,0,0,0,0,0,40,56,0,0,0,0,0,0,0,0,0,0,160,1627,0,0,0,0,0,0,0,0,0,0,150,1314,160,1365,0,0,0,0,40,60,120,321,120,315,0,0
37,NC,27009,5,210,40,180,0,200,0,110,130,570,180,0,0,0,0,0,70,28428,210,28725,200,22470,120,67,70,349,70,292,90,93,60,880,70,1056,50,1521,70,2685,0,0,0,60,1521,20,276,70,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,3701,22465,0,0,160,1111,0,0,150,425,130,49,160,1610,140,1106,0,0,0,0,0,0,0,0,140,644,40,332,0,0,210,21799,210,3724,0,0,0,0,110,137,50,11,30,15,30,39,0,0,40,60,0,0,40,131,0,0,0,0,0,0,210,3999,0,0,0,0,0,0,20,24,0,0,210,3586,210,3719,0,0,0,0,80,405,130,681,140,765,0,0
37,NC,27009,6,70,0,50,0,60,0,60,0,170,50,0,0,0,0,0,30,36361,70,36892,60,18677,50,190,50,451,50,394,30,103,0,0,40,1979,0,0,0,0,0,0,0,0,0,40,13049,30,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4828,35532,0,0,70,2849,0,0,70,317,50,29,70,3213,50,700,0,0,0,0,0,0,0,0,60,1038,0,0,0,0,70,31975,70,13762,30,129,0,0,30,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,14174,0,0,0,0,0,0,0,0,0,0,70,13586,70,14518,30,66,30,102,40,1275,30,924,0,0,0,0
37,NC,27011,1,890,530,190,140,810,60,530,580,1330,400,20,20,0,0,150,230,11211,890,11388,660,7992,160,114,70,130,70,108,0,0,150,1095,70,55,90,555,150,1238,30,0,0,50,82,0,0,160,177,0,0,0,0,30,111,0,0,0,0,0,0,0,0,60,878,909,50,378,0,0,40,22,50,73,30,6,60,121,30,166,0,0,0,0,20,18,0,0,50,126,0,0,0,0,360,2087,370,234,0,0,40,18,100,29,0,0,0,0,40,24,60,12,20,7,0,0,130,192,90,721,100,749,20,11,810,1839,300,749,250,629,180,208,50,35,70,52,330,204,450,414,0,0,0,0,80,61,760,1485,760,1477,0,0
37,NC,27011,2,670,280,240,120,600,40,410,460,1350,440,20,20,0,0,100,150,23921,670,24251,590,19761,140,94,60,152,60,112,50,26,100,910,60,137,60,672,120,1698,30,0,0,120,818,60,262,110,330,30,6,0,0,0,0,30,175,40,31,0,0,0,0,90,1552,3443,50,421,90,157,30,29,70,105,50,15,90,274,60,316,0,0,0,0,0,0,0,0,60,290,40,271,0,0,640,11697,640,1412,0,0,40,47,280,202,0,0,40,20,0,0,160,38,140,133,0,0,70,173,60,533,70,589,60,44,660,2831,160,349,130,286,130,181,0,0,0,0,530,1210,560,1422,0,0,0,0,100,147,570,1550,570,1542,0,0
