STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
37,NC,27007,5,80,0,80,0,60,230,70,0,0,0,10278,80,10390,70,6685,40,19,20,13,20,15,50,69,0,0,0,0,0,0,20,880,0,0,0,0,0,0,0,30,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1101,7233,50,320,0,0,50,95,50,429,50,337,40,225,80,7540,80,1250,0,0,0,0,40,67,0,0,0,0,0,0,0,0,30,29,0,0,0,0,0,0,0,0,0,0,80,1285,0,0,0,0,0,0,0,0,0,0,80,1183,80,1280,0,0,0,0,30,158,50,169
37,NC,27007,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,NC,27009,1,390,260,70,60,190,540,150,0,0,0,4783,390,4900,280,3217,80,29,40,31,40,23,0,0,70,512,40,42,30,168,70,644,0,0,0,0,0,0,0,70,117,0,0,0,0,0,0,0,0,20,16,0,0,0,0,30,475,457,0,0,0,0,0,0,30,56,0,0,0,0,160,897,160,105,0,0,20,17,40,13,0,0,0,0,0,0,0,0,0,0,0,0,60,88,40,170,40,190,0,0,350,759,130,309,120,258,70,84,0,0,0,0,130,92,190,187,0,0,0,0,30,35,330,595
37,NC,27009,2,290,130,100,50,150,550,170,0,0,0,10673,290,10830,250,8372,80,89,40,114,40,80,60,38,60,527,50,44,30,308,60,947,30,40,165,70,407,40,187,80,157,30,7,0,0,30,172,0,0,0,0,0,0,0,0,80,1174,2961,80,126,30,27,80,117,80,230,70,429,80,209,280,5485,280,675,0,0,0,0,130,98,0,0,0,0,50,39,90,16,70,61,0,0,50,105,0,0,0,0,50,9,280,1199,70,130,50,93,60,67,40,32,0,0,230,577,250,691,0,0,0,0,40,73,250,578
37,NC,27009,3,220,60,140,30,120,510,160,0,0,0,13714,220,13899,200,11040,80,23,30,63,30,61,80,59,30,349,20,98,40,654,60,1100,0,0,0,50,769,0,0,60,185,0,0,0,0,0,0,0,0,30,23,0,0,0,0,100,1589,6470,100,280,0,0,90,150,100,459,90,600,90,226,220,8809,220,1210,0,0,0,0,90,139,0,0,50,25,0,0,0,0,70,104,0,0,30,63,0,0,0,0,0,0,220,1486,0,0,0,0,0,0,0,0,0,0,210,1071,210,1147,0,0,0,0,50,139,160,475
37,NC,27009,4,160,20,130,0,100,420,130,0,0,0,14006,160,14120,150,11481,70,23,40,74,40,46,80,74,40,378,30,139,0,0,40,976,0,0,0,30,641,0,0,40,114,0,0,0,0,20,186,0,0,0,0,0,0,0,0,90,1645,7544,90,348,0,0,80,146,90,513,70,523,70,295,160,9779,160,1393,0,0,0,0,70,135,0,0,0,0,40,42,0,0,50,96,0,0,30,63,0,0,0,0,0,0,160,1596,0,0,0,0,0,0,30,26,0,0,160,1258,160,1338,0,0,0,0,50,118,120,371
37,NC,27009,5,190,30,170,0,100,510,160,0,0,0,24599,190,24857,180,20217,110,35,70,286,60,245,130,163,40,516,50,389,30,571,70,1722,0,0,0,40,962,20,532,60,258,0,0,0,0,0,0,0,0,20,22,0,0,0,0,150,3780,20614,150,1030,0,0,150,371,150,1466,140,1208,140,631,190,18384,190,3116,20,113,0,0,90,109,50,5,20,13,0,0,0,0,50,63,0,0,30,89,0,0,0,0,0,0,190,3334,0,0,0,0,0,0,0,0,0,0,190,3007,190,3133,0,0,0,0,70,248,130,739
37,NC,27009,6,50,0,30,0,40,110,30,0,0,0,15438,50,15844,40,7839,30,78,30,181,30,127,0,0,0,0,30,1163,0,0,0,0,0,0,0,0,0,20,4046,20,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1999,14300,40,1048,0,0,40,172,40,1244,30,331,40,309,50,13072,50,3471,0,0,0,0,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3540,0,0,0,0,0,0,0,0,0,0,40,3341,50,3452,0,0,0,0,30,601,0,0
37,NC,27011,1,990,590,190,200,610,1580,550,50,50,0,12491,990,12734,760,9591,170,95,60,106,60,73,0,0,180,1375,80,62,80,486,140,1020,30,30,73,50,66,20,4,180,243,0,0,0,0,30,143,0,0,0,0,0,0,0,0,40,601,634,0,0,20,12,30,55,40,88,20,115,30,76,380,2286,380,254,0,0,40,32,110,33,0,0,0,0,0,0,50,8,40,12,0,0,160,213,50,227,50,239,80,8,900,2139,370,947,320,816,250,318,30,22,30,6,330,220,490,447,0,0,0,0,100,73,840,1751
37,NC,27011,2,610,240,250,100,370,1200,340,30,30,0,21547,610,21745,530,17358,150,110,50,139,50,122,80,59,80,289,60,213,70,626,110,1928,40,30,71,140,840,0,0,110,198,20,5,0,0,0,0,0,0,40,31,0,0,0,0,90,1315,3321,80,116,30,28,80,137,90,283,60,269,80,251,590,10626,580,1261,0,0,0,0,260,182,0,0,0,0,40,34,130,33,130,115,0,0,60,104,20,89,30,106,80,17,600,2410,130,274,100,214,100,139,20,18,0,0,490,1079,530,1218,0,0,0,0,70,84,530,1285
37,NC,27011,3,340,60,260,30,250,850,250,0,0,0,21173,340,21469,310,16128,140,86,70,169,60,126,90,82,70,279,60,276,60,804,100,2047,40,0,0,100,1443,40,308,100,296,40,8,0,0,30,163,30,140,40,37,0,0,0,0,110,1840,6645,100,266,20,26,100,199,110,494,80,469,90,373,340,13195,340,1720,0,0,0,0,170,225,0,0,40,18,70,73,50,8,100,152,40,12,70,181,0,0,0,0,0,0,340,2159,0,0,0,0,0,0,50,41,0,0,330,1496,340,1668,0,0,0,0,80,170,250,657
37,NC,27011,4,190,30,160,0,140,500,150,0,0,0,16229,190,16392,160,11634,100,75,60,129,50,106,80,84,30,35,50,276,30,492,70,1972,20,0,0,50,1193,0,0,50,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1586,7561,80,318,0,0,90,158,90,510,70,469,80,460,190,11396,190,1574,0,0,0,0,90,133,40,2,20,9,0,0,0,0,70,101,0,0,0,0,0,0,0,0,0,0,190,1765,0,0,0,0,0,0,0,0,0,0,190,1442,190,1490,0,0,0,0,60,152,130,415
37,NC,27011,5,130,0,120,0,90,360,130,0,0,0,16182,130,16669,110,10952,100,148,70,333,70,268,90,130,30,648,60,1047,30,581,70,2136,20,0,0,40,969,30,1396,50,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2187,12495,90,604,0,0,110,265,100,856,90,595,90,660,130,12159,130,1939,0,0,0,0,70,77,0,0,0,0,30,34,0,0,30,33,0,0,30,237,0,0,0,0,0,0,130,2120,0,0,0,0,0,0,30,22,0,0,130,1863,130,1985,0,0,0,0,60,617,90,347
37,NC,27011,6,20,0,20,0,20,60,0,0,0,0,8676,20,8676,20,3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,917,7618,20,484,0,0,0,0,20,544,0,0,20,225,20,7550,20,1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1869,0,0,0,0,0,0,0,0,0,0,20,1916,20,2119,0,0,0,0,0,0,0,0
