NAME,ESTAB,EMP,PAYANN,PAYQTR1,NAICS2017,zip,year
"ZIP 27305 (Milton, NC)",7,13,440,69,0,27305,2022
"ZIP 27306 (Mount Gilead, NC)",105,1894,103831,23607,0,27306,2022
"ZIP 27313 (Pleasant Garden, NC)",85,582,20900,4732,0,27313,2022
"ZIP 27314 (Prospect Hill, NC)",11,102,5625,1148,0,27314,2022
"ZIP 27315 (Providence, NC)",29,317,14673,3094,0,27315,2022
"ZIP 27317 (Randleman, NC)",291,4473,183697,45264,0,27317,2022
"ZIP 27343 (Semora, NC)",31,387,35444,9618,0,27343,2022
"ZIP 27103 (Winston Salem, NC)",1847,46830,3009814,778670,0,27103,2022
"ZIP 27316 (Ramseur, NC)",124,1464,47633,10759,0,27316,2022
"ZIP 27325 (Robbins, NC)",70,572,19012,4247,0,27325,2022
"ZIP 27344 (Siler City, NC)",379,5937,218237,52347,0,27344,2022
"ZIP 27350 (Sophia, NC)",67,491,20529,4904,0,27350,2022
"ZIP 27006 (Advance, NC)",316,3607,180480,40103,0,27006,2022
"ZIP 27041 (Pilot Mountain, NC)",175,1648,64600,15324,0,27041,2022
"ZIP 27050 (Tobaccoville, NC)",50,1616,172896,55849,0,27050,2022
"ZIP 27107 (Winston Salem, NC)",634,10488,602738,154200,0,27107,2022
"ZIP 27283 (Julian, NC)",36,189,8561,1993,0,27283,2022
"ZIP 27288 (Eden, NC)",426,6451,272421,66505,0,27288,2022
"ZIP 27298 (Liberty, NC)",183,2067,100572,22740,0,27298,2022
"ZIP 27014 (Cooleemee, NC)",15,232,8628,1920,0,27014,2022
"ZIP 27127 (Winston Salem, NC)",568,7013,284317,66993,0,27127,2022
"ZIP 27207 (Bear Creek, NC)",50,334,16335,4097,0,27207,2022
"ZIP 27263 (High Point, NC)",752,13940,675831,163500,0,27263,2022
"ZIP 27284 (Kernersville, NC)",1418,21146,938486,216459,0,27284,2022
"ZIP 27320 (Reidsville, NC)",699,9266,369950,89648,0,27320,2022
"ZIP 27326 (Ruffin, NC)",29,88,1922,390,0,27326,2022
"ZIP 27355 (Staley, NC)",30,256,8314,2041,0,27355,2022
"ZIP 27016 (Danbury, NC)",33,336,6964,2058,0,27016,2022
"ZIP 27017 (Dobson, NC)",158,2280,89085,19615,0,27017,2022
"ZIP 27051 (Walkertown, NC)",118,1307,34076,7780,0,27051,2022
"ZIP 27203 (Asheboro, NC)",814,15746,670708,153261,0,27203,2022
"ZIP 27239 (Denton, NC)",159,1780,69926,16519,0,27239,2022
"ZIP 27278 (Hillsborough, NC)",675,7841,404598,87828,0,27278,2022
"ZIP 27330 (Sanford, NC)",1012,18429,936358,233772,0,27330,2022
"ZIP 27356 (Star, NC)",45,594,28332,6253,0,27356,2022
"ZIP 27360 (Thomasville, NC)",863,12434,645619,155034,0,27360,2022
"ZIP 27208 (Bennett, NC)",24,74,2151,468,0,27208,2022
"ZIP 27209 (Biscoe, NC)",103,1687,66917,15781,0,27209,2022
"ZIP 27252 (Goldston, NC)",33,174,7893,1730,0,27252,2022
"ZIP 27258 (Haw River, NC)",99,1387,72324,16583,0,27258,2022
"ZIP 27295 (Lexington, NC)",520,6807,285936,66456,0,27295,2022
"ZIP 27357 (Stokesdale, NC)",191,1282,55960,12428,0,27357,2022
"ZIP 27027 (Mayodan, NC)",79,1956,71558,20320,0,27027,2022
"ZIP 27030 (Mount Airy, NC)",905,22018,1263266,291362,0,27030,2022
"ZIP 27101 (Winston Salem, NC)",1109,23187,1816381,535405,0,27101,2022
"ZIP 27253 (Graham, NC)",556,6001,269284,61412,0,27253,2022
"ZIP 27260 (High Point, NC)",624,11739,613339,147486,0,27260,2022
"ZIP 27028 (Mocksville, NC)",542,7723,310314,85417,0,27028,2022
"ZIP 27043 (Pinnacle, NC)",59,198,5686,1141,0,27043,2022
"ZIP 27052 (Walnut Cove, NC)",136,1316,38894,8993,0,27052,2022
