NAME,ESTAB,EMP,PAYANN,PAYQTR1,NAICS2017,zip,year
"ZIP 28465 (Oak Island, NC)",176,1072,34264,6549,0,28465,2021
"ZIP 28468 (Sunset Beach, NC)",102,1049,33976,7044,0,28468,2021
"ZIP 28305 (Fayetteville, NC)",280,2914,132165,29641,0,28305,2021
"ZIP 28333 (Dudley, NC)",75,2100,100172,24915,0,28333,2021
"ZIP 28430 (Cerro Gordo, NC)",13,56,1845,349,0,28430,2021
"ZIP 28431 (Chadbourn, NC)",79,578,14479,3481,0,28431,2021
"ZIP 28303 (Fayetteville, NC)",1078,15361,497097,114259,0,28303,2021
"ZIP 28366 (Newton Grove, NC)",80,879,36440,8655,0,28366,2021
"ZIP 28513 (Ayden, NC)",177,1777,59543,13071,0,28513,2021
"ZIP 28323 (Bunnlevel, NC)",25,148,4902,1113,0,28323,2021
"ZIP 28334 (Dunn, NC)",657,9709,374664,84520,0,28334,2021
"ZIP 28340 (Fairmont, NC)",105,860,23929,5696,0,28340,2021
"ZIP 28360 (Lumberton, NC)",121,2226,88793,23740,0,28360,2021
"ZIP 28395 (Wade, NC)",41,288,13302,3326,0,28395,2021
"ZIP 28428 (Carolina Beach, NC)",318,2219,65737,12352,0,28428,2021
"ZIP 28432 (Clarendon, NC)",13,32,1063,205,0,28432,2021
"ZIP 28433 (Clarkton, NC)",36,681,22804,4979,0,28433,2021
"ZIP 28447 (Ivanhoe, NC)",9,43,1372,396,0,28447,2021
"ZIP 28449 (Kure Beach, NC)",50,229,7423,1251,0,28449,2021
"ZIP 28269 (Charlotte, NC)",1528,26167,1422404,339366,0,28269,2021
"ZIP 28277 (Charlotte, NC)",2729,37639,3306366,932296,0,28277,2021
"ZIP 28314 (Fayetteville, NC)",589,9374,286337,65207,0,28314,2021
"ZIP 28315 (Aberdeen, NC)",392,6551,279343,65935,0,28315,2021
"ZIP 28326 (Cameron, NC)",161,2069,56311,12834,0,28326,2021
"ZIP 28390 (Spring Lake, NC)",302,2392,63399,14822,0,28390,2021
"ZIP 28396 (Wagram, NC)",23,193,5435,1180,0,28396,2021
"ZIP 28398 (Warsaw, NC)",130,1702,61383,14250,0,28398,2021
"ZIP 28435 (Currie, NC)",22,114,3748,848,0,28435,2021
"ZIP 28450 (Lake Waccamaw, NC)",37,579,22198,5415,0,28450,2021
"ZIP 28462 (Supply, NC)",280,2225,83843,17862,0,28462,2021
"ZIP 28466 (Wallace, NC)",230,2524,81428,18699,0,28466,2021
"ZIP 28469 (Ocean Isle Beach, NC)",241,2015,70865,14568,0,28469,2021
"ZIP 28369 (Orrum, NC)",15,55,1540,326,0,28369,2021
"ZIP 28371 (Parkton, NC)",42,200,5300,1213,0,28371,2021
"ZIP 28377 (Red Springs, NC)",125,1106,34149,7738,0,28377,2021
"ZIP 28436 (Delco, NC)",47,225,8984,1920,0,28436,2021
"ZIP 28451 (Leland, NC)",623,7777,324281,76315,0,28451,2021
"ZIP 28453 (Magnolia, NC)",14,68,2462,526,0,28453,2021
"ZIP 28454 (Maple Hill, NC)",15,87,3165,657,0,28454,2021
"ZIP 28461 (Southport, NC)",598,7276,365451,99825,0,28461,2021
"ZIP 28472 (Whiteville, NC)",513,7018,239802,52791,0,28472,2021
"ZIP 28478 (Willard, NC)",44,165,6707,1444,0,28478,2021
"ZIP 28227 (Charlotte, NC)",1218,13085,620074,138989,0,28227,2021
"ZIP 28337 (Elizabethtown, NC)",298,3638,122110,28251,0,28337,2021
"ZIP 28341 (Faison, NC)",51,824,34739,10374,0,28341,2021
"ZIP 28382 (Roseboro, NC)",87,764,24668,5447,0,28382,2021
"ZIP 28405 (Wilmington, NC)",1581,23663,1530485,397888,0,28405,2021
"ZIP 28438 (Evergreen, NC)",8,30,950,185,0,28438,2021
"ZIP 28439 (Fair Bluff, NC)",19,156,6186,1458,0,28439,2021
"ZIP 28455 (Nakina, NC)",12,31,1564,350,0,28455,2021
