NAME,ESTAB,EMP,PAYANN,PAYQTR1,NAICS2017,zip,year
"ZIP 27006 (Advance, NC)",294,3093,110553,25510,0,27006,2019
"ZIP 27521 (Coats, NC)",87,677,18965,4339,0,27521,2019
"ZIP 27007 (Ararat, NC)",19,56,1756,429,0,27007,2019
"ZIP 27009 (Belews Creek, NC)",48,422,27720,8922,0,27009,2019
"ZIP 27011 (Boonville, NC)",59,475,12685,3019,0,27011,2019
"ZIP 27012 (Clemmons, NC)",661,7971,272027,64760,0,27012,2019
"ZIP 27013 (Cleveland, NC)",95,4225,225504,59460,0,27013,2019
"ZIP 27014 (Cooleemee, NC)",14,544,10682,2376,0,27014,2019
"ZIP 27016 (Danbury, NC)",33,396,7958,2170,0,27016,2019
"ZIP 27017 (Dobson, NC)",166,2644,86727,20816,0,27017,2019
"ZIP 27018 (East Bend, NC)",76,593,26164,5584,0,27018,2019
"ZIP 27019 (Germanton, NC)",32,133,4783,1007,0,27019,2019
"ZIP 27020 (Hamptonville, NC)",69,1187,42291,9363,0,27020,2019
"ZIP 27021 (King, NC)",332,3524,100108,24510,0,27021,2019
"ZIP 27022 (Lawsonville, NC)",22,246,8977,2009,0,27022,2019
"ZIP 27023 (Lewisville, NC)",215,3567,84041,19275,0,27023,2019
"ZIP 27024 (Lowgap, NC)",18,55,1454,319,0,27024,2019
"ZIP 27025 (Madison, NC)",238,2803,88076,22112,0,27025,2019
"ZIP 27027 (Mayodan, NC)",77,1891,62162,16539,0,27027,2019
"ZIP 27028 (Mocksville, NC)",529,6938,270495,68928,0,27028,2019
"ZIP 27030 (Mount Airy, NC)",882,20703,918628,217698,0,27030,2019
"ZIP 27040 (Pfafftown, NC)",148,889,29225,6891,0,27040,2019
"ZIP 27041 (Pilot Mountain, NC)",175,1554,48228,11150,0,27041,2019
"ZIP 27043 (Pinnacle, NC)",54,196,3858,889,0,27043,2019
"ZIP 27045 (Rural Hall, NC)",170,3312,136044,34029,0,27045,2019
"ZIP 27046 (Sandy Ridge, NC)",25,80,1809,421,0,27046,2019
"ZIP 27048 (Stoneville, NC)",95,937,30892,7148,0,27048,2019
"ZIP 27050 (Tobaccoville, NC)",46,1988,140832,47452,0,27050,2019
"ZIP 27051 (Walkertown, NC)",119,1235,31811,7642,0,27051,2019
"ZIP 27052 (Walnut Cove, NC)",137,1128,30499,6946,0,27052,2019
"ZIP 27053 (Westfield, NC)",21,161,3939,944,0,27053,2019
"ZIP 27054 (Woodleaf, NC)",22,174,4679,1224,0,27054,2019
"ZIP 27055 (Yadkinville, NC)",312,4769,158072,39128,0,27055,2019
"ZIP 27101 (Winston Salem, NC)",1049,24158,1659437,528187,0,27101,2019
"ZIP 27103 (Winston Salem, NC)",1809,48135,2682304,696333,0,27103,2019
"ZIP 27104 (Winston Salem, NC)",584,6868,241221,58931,0,27104,2019
"ZIP 27105 (Winston Salem, NC)",695,17712,875600,232172,0,27105,2019
"ZIP 27106 (Winston Salem, NC)",873,12200,461723,118420,0,27106,2019
"ZIP 27107 (Winston Salem, NC)",615,9104,435134,118803,0,27107,2019
"ZIP 27127 (Winston Salem, NC)",544,7182,226368,54147,0,27127,2019
"ZIP 27203 (Asheboro, NC)",804,16432,582579,143666,0,27203,2019
"ZIP 27205 (Asheboro, NC)",346,4247,142729,33622,0,27205,2019
"ZIP 27207 (Bear Creek, NC)",50,346,15113,3756,0,27207,2019
"ZIP 27208 (Bennett, NC)",21,66,1635,381,0,27208,2019
"ZIP 27209 (Biscoe, NC)",91,1669,58948,15289,0,27209,2019
"ZIP 27212 (Blanch, NC)",19,115,3685,739,0,27212,2019
"ZIP 27214 (Browns Summit, NC)",130,2916,163690,40477,0,27214,2019
"ZIP 27215 (Burlington, NC)",1447,31047,1322219,324637,0,27215,2019
"ZIP 27217 (Burlington, NC)",487,5560,179484,41599,0,27217,2019
"ZIP 27229 (Candor, NC)",49,941,28447,6689,0,27229,2019
