NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,zcta,zip,year
ZCTA5 27006,90711,286700,878,5601,740,27006,27006,2022
ZCTA5 27007,85739,172500,788,622,135,27007,27007,2022
ZCTA5 27009,95855,207300,1194,1160,80,27009,27009,2022
ZCTA5 27011,58198,152500,713,1700,460,27011,27011,2022
ZCTA5 27012,91003,293700,989,9454,2256,27012,27012,2022
ZCTA5 27013,60769,173500,770,2043,517,27013,27013,2022
ZCTA5 27014,52250,131000,900,215,96,27014,27014,2022
ZCTA5 27016,50524,152600,1013,760,65,27016,27016,2022
ZCTA5 27017,60602,133700,683,2520,769,27017,27017,2022
ZCTA5 27018,64543,193200,713,2458,487,27018,27018,2022
ZCTA5 27019,51596,172900,759,1374,292,27019,27019,2022
ZCTA5 27020,48356,144300,732,1826,563,27020,27020,2022
ZCTA5 27021,59316,180000,886,5287,1901,27021,27021,2022
ZCTA5 27022,34881,122600,717,352,116,27022,27022,2022
ZCTA5 27023,90066,286800,1034,4214,824,27023,27023,2022
ZCTA5 27024,59083,175400,613,917,123,27024,27024,2022
ZCTA5 27025,51712,136800,649,4029,768,27025,27025,2022
ZCTA5 27027,43768,114100,624,1220,765,27027,27027,2022
ZCTA5 27028,58298,185700,812,7658,2067,27028,27028,2022
ZCTA5 27030,44653,143300,685,10531,4841,27030,27030,2022
ZCTA5 27040,92441,236300,1009,4366,375,27040,27040,2022
ZCTA5 27041,60166,175400,732,2336,809,27041,27041,2022
ZCTA5 27043,71042,198600,774,2391,365,27043,27043,2022
ZCTA5 27045,65670,169700,985,3247,926,27045,27045,2022
ZCTA5 27046,54259,165200,571,867,227,27046,27046,2022
ZCTA5 27048,57395,141500,790,2905,535,27048,27048,2022
ZCTA5 27050,84016,174300,800,1260,187,27050,27050,2022
ZCTA5 27051,58902,181800,1120,2184,946,27051,27051,2022
ZCTA5 27052,55324,164300,784,3082,1067,27052,27052,2022
ZCTA5 27053,63141,184600,722,1249,188,27053,27053,2022
ZCTA5 27054,92823,188800,-666666666,925,32,27054,27054,2022
ZCTA5 27055,61921,174300,731,4146,1326,27055,27055,2022
ZCTA5 27101,44798,192400,877,3207,6311,27101,27101,2022
ZCTA5 27103,59073,201500,1042,8561,7691,27103,27103,2022
ZCTA5 27104,75592,312200,1070,8167,5478,27104,27104,2022
ZCTA5 27105,34873,128000,809,7474,7443,27105,27105,2022
ZCTA5 27106,63308,254900,1006,10397,9186,27106,27106,2022
ZCTA5 27107,54176,180600,856,12968,5613,27107,27107,2022
ZCTA5 27127,60235,168900,1002,10369,5771,27127,27127,2022
ZCTA5 27203,43879,134300,792,3882,4982,27203,27203,2022
ZCTA5 27205,61286,171300,788,11258,2784,27205,27205,2022
ZCTA5 27207,65526,153100,636,1178,286,27207,27207,2022
ZCTA5 27208,55729,134100,1000,582,55,27208,27208,2022
ZCTA5 27209,49271,116700,765,795,552,27209,27209,2022
ZCTA5 27212,88125,179100,773,359,157,27212,27212,2022
ZCTA5 27214,71250,270200,1107,3527,1518,27214,27214,2022
ZCTA5 27215,63844,217500,1026,12099,7627,27215,27215,2022
ZCTA5 27217,50450,142100,832,9217,5112,27217,27217,2022
ZCTA5 27229,46150,109700,698,824,247,27229,27229,2022
ZCTA5 27231,70625,230600,1064,827,204,27231,27231,2022
