NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,zcta,zip,year
ZCTA5 29590,30985,68600,753,757,229,29590,29590,2020
ZCTA5 28383,32174,65300,638,2241,629,28383,28383,2020
ZCTA5 28386,31095,53700,618,1621,468,28386,28386,2020
ZCTA5 28398,32585,78200,701,1682,1240,28398,28398,2020
ZCTA5 28425,54303,145300,807,2922,1216,28425,28425,2020
ZCTA5 28429,51472,158500,869,2689,561,28429,28429,2020
ZCTA5 28544,47845,104000,978,613,1605,28544,28544,2020
ZCTA5 28470,49028,168700,828,3693,1418,28470,28470,2020
ZCTA5 28524,39583,164700,-666666666,92,13,28524,28524,2020
ZCTA5 28530,33803,93300,615,1906,1072,28530,28530,2020
ZCTA5 28556,-666666666,261600,-666666666,363,111,28556,28556,2020
ZCTA5 28573,43490,150200,678,555,202,28573,28573,2020
ZCTA5 28621,50031,127300,625,2598,1231,28621,28621,2020
ZCTA5 28631,33532,166800,-666666666,283,141,28631,28631,2020
ZCTA5 28405,54711,231600,1130,8765,5832,28405,28405,2020
ZCTA5 28644,27292,141300,682,418,138,28644,28644,2020
ZCTA5 28675,35984,152500,621,2285,897,28675,28675,2020
ZCTA5 28684,44858,222500,774,739,206,28684,28684,2020
ZCTA5 28442,50491,95400,588,527,110,28442,28442,2020
ZCTA5 28444,52154,117400,938,854,199,28444,28444,2020
ZCTA5 28466,51362,116600,486,3018,862,28466,28466,2020
ZCTA5 28718,60934,187500,-666666666,162,30,28718,28718,2020
ZCTA5 28722,46957,213800,832,1910,1037,28722,28722,2020
ZCTA5 27007,79219,148600,407,756,95,27007,27007,2020
ZCTA5 27022,43259,145000,651,350,172,27022,27022,2020
ZCTA5 27023,78024,232800,949,4167,822,27023,27023,2020
ZCTA5 27024,42246,128300,744,1043,196,27024,27024,2020
ZCTA5 27103,53349,162600,891,8629,7016,27103,27103,2020
ZCTA5 27209,40927,111700,704,1040,531,27209,27209,2020
ZCTA5 27265,60912,192700,943,13983,6488,27265,27265,2020
ZCTA5 27306,52861,128100,678,2107,476,27306,27306,2020
ZCTA5 27311,32449,93200,539,925,418,27311,27311,2020
ZCTA5 27330,50836,149400,804,8591,5484,27330,27330,2020
ZCTA5 27406,44625,134500,861,13379,11180,27406,27406,2020
ZCTA5 27409,45516,147200,887,2544,5496,27409,27409,2020
ZCTA5 29178,41958,64400,775,1157,265,29178,29178,2020
ZCTA5 29223,50993,156400,1015,11793,9611,29223,29223,2020
ZCTA5 29306,33324,110700,742,3333,3842,29306,29306,2020
ZCTA5 29322,50905,160600,751,2982,520,29322,29322,2020
ZCTA5 29376,66959,165400,887,2296,348,29376,29376,2020
ZCTA5 28073,44688,108700,712,1471,773,28073,28073,2020
ZCTA5 28098,43596,119500,931,996,497,28098,28098,2020
ZCTA5 28119,45197,84000,909,689,427,28119,28119,2020
ZCTA5 28144,45161,148300,801,5271,4479,28144,28144,2020
ZCTA5 28150,38492,134400,670,7216,3672,28150,28150,2020
ZCTA5 28168,54747,127100,666,3531,595,28168,28168,2020
ZCTA5 28173,130705,416000,1299,16189,1888,28173,28173,2020
ZCTA5 28205,56196,273200,1059,9052,12023,28205,28205,2020
ZCTA5 28214,67398,163400,1143,10344,3445,28214,28214,2020
ZCTA5 28315,52359,170400,744,3737,1465,28315,28315,2020
