NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,state,zcta,zip,year
ZCTA5 27006,81411,233600,824,5262,547,37,27006,27006,2019
ZCTA5 27007,61667,117300,566,816,80,37,27007,27007,2019
ZCTA5 27009,87315,171300,944,954,76,37,27009,27009,2019
ZCTA5 27011,42995,131000,639,1801,588,37,27011,27011,2019
ZCTA5 27012,81919,227200,815,8934,1858,37,27012,27012,2019
ZCTA5 27013,52727,117300,668,1716,538,37,27013,27013,2019
ZCTA5 27014,48750,85400,953,187,147,37,27014,27014,2019
ZCTA5 27016,46250,110200,583,439,120,37,27016,27016,2019
ZCTA5 27017,42348,121600,635,2350,1078,37,27017,27017,2019
ZCTA5 27018,47136,160500,772,2602,548,37,27018,27018,2019
ZCTA5 27019,56600,144500,653,1431,163,37,27019,27019,2019
ZCTA5 27020,41032,137400,667,1750,784,37,27020,27020,2019
ZCTA5 27021,53466,143800,738,5644,1752,37,27021,27021,2019
ZCTA5 27022,43478,184500,657,342,127,37,27022,27022,2019
ZCTA5 27023,75887,212900,861,4322,837,37,27023,27023,2019
ZCTA5 27024,38788,132100,731,918,218,37,27024,27024,2019
ZCTA5 27025,47869,116300,606,3764,755,37,27025,27025,2019
ZCTA5 27027,32075,97600,532,1164,700,37,27027,27027,2019
ZCTA5 27028,50399,140600,720,7590,2573,37,27028,27028,2019
ZCTA5 27030,40723,117500,609,10878,4301,37,27030,27030,2019
ZCTA5 27040,74479,186000,1038,4175,471,37,27040,27040,2019
ZCTA5 27041,47188,153600,625,2330,866,37,27041,27041,2019
ZCTA5 27043,49271,143600,640,2107,649,37,27043,27043,2019
ZCTA5 27045,53298,142100,821,2859,922,37,27045,27045,2019
ZCTA5 27046,36840,104100,441,728,155,37,27046,27046,2019
ZCTA5 27048,54038,122700,593,2686,508,37,27048,27048,2019
ZCTA5 27050,55875,147500,704,1435,189,37,27050,27050,2019
ZCTA5 27051,45833,137400,767,2217,847,37,27051,27051,2019
ZCTA5 27052,42639,138900,670,3269,1207,37,27052,27052,2019
ZCTA5 27053,47174,119900,766,1241,189,37,27053,27053,2019
ZCTA5 27054,70610,133000,774,847,148,37,27054,27054,2019
ZCTA5 27055,46610,135300,632,4165,1251,37,27055,27055,2019
ZCTA5 27101,34477,133300,714,2899,5732,37,27101,27101,2019
ZCTA5 27103,50262,160500,873,8192,7413,37,27103,27103,2019
ZCTA5 27104,65479,254700,878,7700,5079,37,27104,27104,2019
ZCTA5 27105,32968,98800,723,7255,7408,37,27105,27105,2019
ZCTA5 27106,51935,186800,810,10453,9292,37,27106,27106,2019
ZCTA5 27107,43720,129100,769,11805,5598,37,27107,27107,2019
ZCTA5 27127,50935,136300,852,9935,5528,37,27127,27127,2019
ZCTA5 27203,36263,107800,656,3929,4933,37,27203,27203,2019
ZCTA5 27205,53212,130200,778,10397,2729,37,27205,27205,2019
ZCTA5 27207,55055,142600,529,1109,233,37,27207,27207,2019
ZCTA5 27208,50442,140800,1011,560,81,37,27208,27208,2019
ZCTA5 27209,42176,107500,729,1036,394,37,27209,27209,2019
ZCTA5 27212,56683,168100,910,545,64,37,27212,27212,2019
ZCTA5 27214,72323,170300,762,3310,691,37,27214,27214,2019
ZCTA5 27215,52543,172400,850,10348,8061,37,27215,27215,2019
ZCTA5 27217,41854,112000,779,8682,5022,37,27217,27217,2019
ZCTA5 27229,40599,87400,561,730,381,37,27229,27229,2019
ZCTA5 27231,67115,201100,1234,620,182,37,27231,27231,2019
