NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,state,zcta,zip,year
ZCTA5 28584,57358.0,231800.0,926.0,3441,1261,37,28584,28584,2015
ZCTA5 28585,32423.0,90800.0,591.0,1140,430,37,28585,28585,2015
ZCTA5 28586,36379.0,79000.0,552.0,2179,721,37,28586,28586,2015
ZCTA5 28587,23177.0,69200.0,612.0,79,87,37,28587,28587,2015
ZCTA5 28590,57438.0,164600.0,839.0,6732,2619,37,28590,28590,2015
ZCTA5 28594,62331.0,364900.0,1186.0,1278,539,37,28594,28594,2015
ZCTA5 28601,46758.0,151300.0,669.0,12237,6981,37,28601,28601,2015
ZCTA5 28602,41970.0,125000.0,668.0,7299,3847,37,28602,28602,2015
ZCTA5 28604,49835.0,233200.0,797.0,1992,767,37,28604,28604,2015
ZCTA5 28605,52336.0,349400.0,974.0,1138,421,37,28605,28605,2015
ZCTA5 28606,49063.0,109200.0,,663,65,37,28606,28606,2015
ZCTA5 28607,30383.0,245000.0,825.0,5705,6733,37,28607,28607,2015
ZCTA5 28609,53625.0,117200.0,750.0,1937,447,37,28609,28609,2015
ZCTA5 28610,42857.0,98700.0,713.0,2866,692,37,28610,28610,2015
ZCTA5 28611,,91500.0,909.0,246,199,37,28611,28611,2015
ZCTA5 28612,36943.0,98400.0,615.0,3375,1214,37,28612,28612,2015
ZCTA5 28613,43094.0,128900.0,667.0,6075,2679,37,28613,28613,2015
ZCTA5 28615,32153.0,86600.0,943.0,715,86,37,28615,28615,2015
ZCTA5 28617,41111.0,163200.0,465.0,858,358,37,28617,28617,2015
ZCTA5 28618,39500.0,173300.0,829.0,719,157,37,28618,28618,2015
ZCTA5 28621,38341.0,108800.0,678.0,2786,1267,37,28621,28621,2015
ZCTA5 28622,29796.0,113900.0,600.0,731,147,37,28622,28622,2015
ZCTA5 28623,45189.0,135000.0,674.0,664,148,37,28623,28623,2015
ZCTA5 28624,23807.0,91400.0,537.0,500,223,37,28624,28624,2015
ZCTA5 28625,46377.0,140000.0,684.0,10559,3486,37,28625,28625,2015
ZCTA5 28626,56927.0,214500.0,924.0,862,176,37,28626,28626,2015
ZCTA5 28627,38010.0,125000.0,675.0,320,172,37,28627,28627,2015
ZCTA5 28630,40492.0,106000.0,632.0,5693,1793,37,28630,28630,2015
ZCTA5 28631,36908.0,153500.0,721.0,253,60,37,28631,28631,2015
ZCTA5 28634,41434.0,109700.0,568.0,1472,460,37,28634,28634,2015
ZCTA5 28635,30802.0,86100.0,624.0,1271,385,37,28635,28635,2015
ZCTA5 28636,34335.0,120100.0,534.0,1509,394,37,28636,28636,2015
ZCTA5 28638,36331.0,112700.0,617.0,2968,1486,37,28638,28638,2015
ZCTA5 28640,30761.0,171200.0,574.0,1192,722,37,28640,28640,2015
ZCTA5 28642,29049.0,105400.0,507.0,1583,798,37,28642,28642,2015
ZCTA5 28643,33854.0,108500.0,547.0,1397,252,37,28643,28643,2015
ZCTA5 28644,29275.0,129300.0,-666666666.0,404,43,37,28644,28644,2015
ZCTA5 28645,33478.0,104900.0,586.0,12610,5692,37,28645,28645,2015
ZCTA5 28650,47675.0,117100.0,779.0,3251,880,37,28650,28650,2015
ZCTA5 28651,33889.0,108900.0,543.0,1884,796,37,28651,28651,2015
ZCTA5 28654,38229.0,115500.0,,1255,231,37,28654,28654,2015
ZCTA5 28655,40733.0,113300.0,608.0,14951,5934,37,28655,28655,2015
ZCTA5 28657,36673.0,132100.0,649.0,3319,805,37,28657,28657,2015
ZCTA5 28658,38481.0,121600.0,652.0,6879,2970,37,28658,28658,2015
ZCTA5 28659,28638.0,111600.0,581.0,5515,2650,37,28659,28659,2015
ZCTA5 28660,46438.0,152600.0,734.0,731,151,37,28660,28660,2015
ZCTA5 28663,41875.0,163000.0,-666666666.0,220,14,37,28663,28663,2015
ZCTA5 28665,37227.0,156900.0,551.0,890,163,37,28665,28665,2015
ZCTA5 28668,49375.0,249400.0,-666666666.0,133,5,37,28668,28668,2015
ZCTA5 28669,30953.0,74900.0,595.0,751,353,37,28669,28669,2015
