NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,state,zcta,zip,year
ZCTA5 27006,70349,237400,814,5002,777,37,27006,27006,2014
ZCTA5 27007,56152,153000,631,714,93,37,27007,27007,2014
ZCTA5 27009,66055,167300,1272,1038,105,37,27009,27009,2014
ZCTA5 27011,36587,112600,579,1688,440,37,27011,27011,2014
ZCTA5 27012,76557,207700,849,8262,1698,37,27012,27012,2014
ZCTA5 27013,43194,106200,754,1950,761,37,27013,27013,2014
ZCTA5 27014,27731,77400,710,218,65,37,27014,27014,2014
ZCTA5 27016,45968,136100,498,537,145,37,27016,27016,2014
ZCTA5 27017,35753,118900,539,2532,964,37,27017,27017,2014
ZCTA5 27018,43912,120600,586,2517,620,37,27018,27018,2014
ZCTA5 27019,59667,118400,511,1411,291,37,27019,27019,2014
ZCTA5 27020,37248,124500,601,2043,481,37,27020,27020,2014
ZCTA5 27021,43900,121900,658,5618,1464,37,27021,27021,2014
ZCTA5 27022,44071,85400,536,692,105,37,27022,27022,2014
ZCTA5 27023,75144,202600,821,4168,493,37,27023,27023,2014
ZCTA5 27024,27649,93500,498,795,283,37,27024,27024,2014
ZCTA5 27025,42637,119700,564,3489,921,37,27025,27025,2014
ZCTA5 27027,33949,79300,559,1118,795,37,27027,27027,2014
ZCTA5 27028,41771,131000,659,7619,2301,37,27028,27028,2014
ZCTA5 27030,33548,107100,618,10932,4699,37,27030,27030,2014
ZCTA5 27040,63354,169800,821,3853,391,37,27040,27040,2014
ZCTA5 27041,41184,121100,714,2497,869,37,27041,27041,2014
ZCTA5 27043,50738,152800,516,2082,435,37,27043,27043,2014
ZCTA5 27045,50047,133900,647,2780,812,37,27045,27045,2014
ZCTA5 27046,42596,96200,460,807,128,37,27046,27046,2014
ZCTA5 27048,41238,97100,595,2799,657,37,27048,27048,2014
ZCTA5 27050,55156,143500,675,1246,330,37,27050,27050,2014
ZCTA5 27051,46700,124000,815,2200,784,37,27051,27051,2014
ZCTA5 27052,37689,111400,654,3146,969,37,27052,27052,2014
ZCTA5 27053,31250,146800,549,991,189,37,27053,27053,2014
ZCTA5 27054,44000,92700,708,673,93,37,27054,27054,2014
ZCTA5 27055,39604,124600,616,4158,1352,37,27055,27055,2014
ZCTA5 27101,25816,127400,627,3011,5195,37,27101,27101,2014
ZCTA5 27103,43908,145800,745,8416,7429,37,27103,27103,2014
ZCTA5 27104,53912,236800,744,7562,5310,37,27104,27104,2014
ZCTA5 27105,29938,96300,674,7558,7406,37,27105,27105,2014
ZCTA5 27106,47662,180300,760,10470,8248,37,27106,27106,2014
ZCTA5 27107,39059,130500,693,11956,5153,37,27107,27107,2014
ZCTA5 27127,46496,129700,798,10322,4119,37,27127,27127,2014
ZCTA5 27203,29619,106000,626,4089,4352,37,27203,27203,2014
ZCTA5 27205,44687,123500,651,9756,2593,37,27205,27205,2014
ZCTA5 27207,46988,120500,712,1220,235,37,27207,27207,2014
ZCTA5 27208,37747,144700,817,610,95,37,27208,27208,2014
ZCTA5 27209,27361,81700,546,821,392,37,27209,27209,2014
ZCTA5 27212,28669,89800,613,421,96,37,27212,27212,2014
ZCTA5 27214,50897,158500,802,3215,1062,37,27214,27214,2014
ZCTA5 27215,43311,148900,776,10855,6965,37,27215,27215,2014
ZCTA5 27217,33375,104600,725,8479,4974,37,27217,27217,2014
ZCTA5 27229,27228,78100,640,820,512,37,27229,27229,2014
ZCTA5 27231,39602,163500,863,610,127,37,27231,27231,2014
