NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,state,zcta,zip,year
ZCTA5 27006,78095.0,228900,870,5057,724,37,27006,27006,2018
ZCTA5 27007,51179.0,113900,558,784,75,37,27007,27007,2018
ZCTA5 27009,89200.0,173000,-666666666,956,42,37,27009,27009,2018
ZCTA5 27011,37167.0,126500,625,1679,623,37,27011,27011,2018
ZCTA5 27012,80045.0,215000,822,8730,1862,37,27012,27012,2018
ZCTA5 27013,51372.0,117000,685,1807,595,37,27013,27013,2018
ZCTA5 27014,37143.0,85100,887,168,136,37,27014,27014,2018
ZCTA5 27016,50263.0,123100,465,431,103,37,27016,27016,2018
ZCTA5 27017,41201.0,120600,626,2469,1023,37,27017,27017,2018
ZCTA5 27018,45714.0,157300,644,2533,605,37,27018,27018,2018
ZCTA5 27019,57075.0,122100,570,1435,208,37,27019,27019,2018
ZCTA5 27020,39012.0,122500,621,1844,610,37,27020,27020,2018
ZCTA5 27021,50123.0,136200,707,5745,1667,37,27021,27021,2018
ZCTA5 27022,41078.0,162500,608,409,76,37,27022,27022,2018
ZCTA5 27023,75208.0,205500,845,4370,827,37,27023,27023,2018
ZCTA5 27024,41161.0,128500,689,901,216,37,27024,27024,2018
ZCTA5 27025,47147.0,118100,698,3743,843,37,27025,27025,2018
ZCTA5 27027,32183.0,92400,580,1066,795,37,27027,27027,2018
ZCTA5 27028,48167.0,142100,717,7161,2642,37,27028,27028,2018
ZCTA5 27030,36859.0,111500,603,10531,4559,37,27030,27030,2018
ZCTA5 27040,73442.0,182900,1068,4160,429,37,27040,27040,2018
ZCTA5 27041,41771.0,153800,575,2303,842,37,27041,27041,2018
ZCTA5 27043,51510.0,128100,623,2021,666,37,27043,27043,2018
ZCTA5 27045,53932.0,135600,760,2736,938,37,27045,27045,2018
ZCTA5 27046,38589.0,84700,456,821,144,37,27046,27046,2018
ZCTA5 27048,53154.0,119100,567,2675,452,37,27048,27048,2018
ZCTA5 27050,54167.0,138500,827,1385,239,37,27050,27050,2018
ZCTA5 27051,47940.0,132300,784,2286,821,37,27051,27051,2018
ZCTA5 27052,39460.0,131900,658,3078,1189,37,27052,27052,2018
ZCTA5 27053,44967.0,127700,759,1036,229,37,27053,27053,2018
ZCTA5 27054,70101.0,113300,774,793,120,37,27054,27054,2018
ZCTA5 27055,44574.0,127100,662,4500,1199,37,27055,27055,2018
ZCTA5 27101,31805.0,126200,670,2990,5839,37,27101,27101,2018
ZCTA5 27103,49623.0,156700,832,8092,7498,37,27103,27103,2018
ZCTA5 27104,64579.0,257100,846,7601,5116,37,27104,27104,2018
ZCTA5 27105,33937.0,97200,712,7173,7582,37,27105,27105,2018
ZCTA5 27106,49947.0,182200,806,10619,8891,37,27106,27106,2018
ZCTA5 27107,42787.0,123700,777,11852,5402,37,27107,27107,2018
ZCTA5 27127,48262.0,131400,849,9568,5745,37,27127,27127,2018
ZCTA5 27203,34131.0,104400,643,4131,4762,37,27203,27203,2018
ZCTA5 27205,47008.0,124600,739,10058,3042,37,27205,27205,2018
ZCTA5 27207,55625.0,139800,534,1058,237,37,27207,27207,2018
ZCTA5 27208,42128.0,122700,750,591,94,37,27208,27208,2018
ZCTA5 27209,42376.0,90400,709,1114,390,37,27209,27209,2018
ZCTA5 27212,46125.0,132000,-666666666,556,21,37,27212,27212,2018
ZCTA5 27214,67895.0,160200,770,3179,604,37,27214,27214,2018
ZCTA5 27215,47420.0,165000,821,10304,7885,37,27215,27215,2018
ZCTA5 27217,40114.0,108700,780,8891,5288,37,27217,27217,2018
ZCTA5 27229,38604.0,85200,538,676,418,37,27229,27229,2018
ZCTA5 27231,65054.0,193200,886,627,134,37,27231,27231,2018
