NAME,B19013_001E,B25077_001E,B25064_001E,B25003_002E,B25003_003E,state,zcta,zip,year
ZCTA5 27006,75962,230100,907,4990,647,37,27006,27006,2017
ZCTA5 27007,41833,107400,602,736,106,37,27007,27007,2017
ZCTA5 27009,78906,172100,-666666666,942,52,37,27009,27009,2017
ZCTA5 27011,39872,123600,605,1725,507,37,27011,27011,2017
ZCTA5 27012,80048,206700,809,8902,1509,37,27012,27012,2017
ZCTA5 27013,50904,124900,712,1643,685,37,27013,27013,2017
ZCTA5 27014,32361,86100,869,172,127,37,27014,27014,2017
ZCTA5 27016,47143,112200,506,457,129,37,27016,27016,2017
ZCTA5 27017,37938,127500,618,2528,1037,37,27017,27017,2017
ZCTA5 27018,43506,157300,614,2497,651,37,27018,27018,2017
ZCTA5 27019,53261,118700,621,1328,186,37,27019,27019,2017
ZCTA5 27020,37777,123500,598,1967,634,37,27020,27020,2017
ZCTA5 27021,47850,130300,726,5678,1775,37,27021,27021,2017
ZCTA5 27022,41607,122300,575,441,62,37,27022,27022,2017
ZCTA5 27023,77044,203700,808,4398,685,37,27023,27023,2017
ZCTA5 27024,34939,121700,700,816,263,37,27024,27024,2017
ZCTA5 27025,49823,122500,682,3844,810,37,27025,27025,2017
ZCTA5 27027,33040,90000,527,1087,766,37,27027,27027,2017
ZCTA5 27028,44609,138000,669,7135,2728,37,27028,27028,2017
ZCTA5 27030,36551,110700,618,10840,4311,37,27030,27030,2017
ZCTA5 27040,70394,174900,1016,4112,383,37,27040,27040,2017
ZCTA5 27041,43081,155400,578,2432,820,37,27041,27041,2017
ZCTA5 27043,46250,133700,606,2043,643,37,27043,27043,2017
ZCTA5 27045,51846,131500,676,2786,807,37,27045,27045,2017
ZCTA5 27046,35750,69700,367,777,116,37,27046,27046,2017
ZCTA5 27048,50230,107900,584,2793,513,37,27048,27048,2017
ZCTA5 27050,50091,130900,765,1433,313,37,27050,27050,2017
ZCTA5 27051,47953,125300,747,2335,776,37,27051,27051,2017
ZCTA5 27052,39239,125500,627,3120,1086,37,27052,27052,2017
ZCTA5 27053,42115,132000,647,1102,222,37,27053,27053,2017
ZCTA5 27054,68708,116400,781,738,95,37,27054,27054,2017
ZCTA5 27055,44362,132100,640,4301,1303,37,27055,27055,2017
ZCTA5 27101,29795,124200,645,2978,5725,37,27101,27101,2017
ZCTA5 27103,45912,153300,797,8257,7454,37,27103,27103,2017
ZCTA5 27104,59714,247700,808,7665,5149,37,27104,27104,2017
ZCTA5 27105,32182,95800,699,7244,7469,37,27105,27105,2017
ZCTA5 27106,49289,177700,810,10617,8515,37,27106,27106,2017
ZCTA5 27107,41057,124000,764,11685,5303,37,27107,27107,2017
ZCTA5 27127,46029,130600,834,9834,5326,37,27127,27127,2017
ZCTA5 27203,32944,103700,626,4103,4872,37,27203,27203,2017
ZCTA5 27205,47478,122200,710,10099,2877,37,27205,27205,2017
ZCTA5 27207,54531,153800,496,1099,253,37,27207,27207,2017
ZCTA5 27208,40969,141600,925,523,84,37,27208,27208,2017
ZCTA5 27209,38424,103800,568,1113,411,37,27209,27209,2017
ZCTA5 27212,38962,117400,475,430,53,37,27212,27212,2017
ZCTA5 27214,61801,158300,825,3093,604,37,27214,27214,2017
ZCTA5 27215,44474,161100,793,10289,7319,37,27215,27215,2017
ZCTA5 27217,38486,108800,775,8502,5468,37,27217,27217,2017
ZCTA5 27229,36132,80900,616,709,464,37,27229,27229,2017
ZCTA5 27231,59375,182500,839,586,133,37,27231,27231,2017
