zip,month,shap_home_value_index,shap_median_sale_price,shap_median_list_price,shap_median_price_per_sqft,shap_homes_sold,shap_new_listings,shap_inventory,shap_avg_sale_to_list_ratio,shap_pct_sold_above_list,shap_pct_off_market_in_2wks,shap_median_household_income,shap_median_owner_home_value,shap_median_gross_rent,shap_tax_returns_filed,shap_adjusted_gross_income,shap_taxable_interest_income,shap_home_value_mom_pct,shap_home_value_yoy_pct,shap_inventory_yoy_pct,shap_home_value_mom_3m_avg,shap_inventory_mom_3m_avg,shap_off_market_2wk_3m_avg,shap_home_value_mom_12m_avg,shap_inventory_mom_12m_avg,shap_home_value_mom_3m_std,shap_home_value_accel,shap_price_to_income_ratio,shap_price_to_rent_ratio,shap_home_value_vs_baseline,shap_inventory_vs_baseline,shap_dom_vs_baseline,shap_home_value_mom_pct_lag3,shap_home_value_mom_pct_lag6,shap_pct_sold_above_list_lag3,shap_pct_sold_above_list_lag6,shap_avg_sale_to_list_ratio_lag6,shap_home_value_vs_baseline_lag3,shap_home_value_vs_baseline_lag6,shap_inventory_vs_baseline_lag3,shap_base
27006,2021-01-31,0.11670933996850393,0.15704792706506124,0.04017138851549428,-0.04149428873452389,0.19559414486189544,0.1071563024169666,0.1156888723490582,-0.050020474660161046,0.10713183351963206,0.27739412497360366,0.6332486514497073,0.4404892345758102,-0.19897280985059898,0.033651497518787175,-0.05843990169170457,-0.22114683134503388,1.6949798692101443,-0.029230709844777852,-0.23002175931474753,0.018508769282679256,0.08195184635661444,0.1537948257147702,0.04352178311369923,-0.13121947075234133,-0.06992631577722512,0.29909020480930015,-0.07761802635131483,0.031261135970820496,0.1252692829004851,-0.004951963936904785,0.033545033514306016,0.26018489679531975,0.10837612617053627,-0.043647544664771463,0.10812447669344981,-0.04848303230252056,0.06418845806318951,0.1396962961254415,-0.1979115046586651,-1.8639320253359244
27006,2021-02-28,0.11587623371595299,0.15171419715475784,0.011669138676566135,0.11437782977665296,0.09501560485612803,0.1006315806749823,0.1267331654842966,0.029854580329411278,0.4663669378024471,0.3397949211916875,0.6331824677925025,0.4327622173705654,-0.20099798343067515,0.038691196870049425,-0.04645198525617516,-0.23245457958101085,1.668214827089658,-0.031080448682368863,-0.07914638949575124,0.009450722592465537,0.04600984806918229,0.1900443884265501,0.04921445757385846,-0.16201108540082954,-0.029521717887327378,0.200717509788423,-0.05719179683182142,0.04728781568717456,0.15527252373300482,0.001050832891611866,0.09902540356977178,0.2429277601284835,0.18500540513902958,-0.03658181588780797,-0.22001916337855001,-0.0503642850963816,0.2267042663311434,0.08639573208274381,-0.23013451340019658,-1.8639320253359244
27006,2021-03-31,0.09956411515413417,0.16832885195820846,-0.014930895733394928,0.1632583433581169,0.09864959322131435,0.11949081265498886,0.10093673785322953,0.11234623590121913,0.5559529291690143,0.36305092346267287,0.6982619192040065,0.39761107486965885,-0.22728637480442168,0.019612437656089464,-0.06623711445537844,-0.2567141260564514,1.2341658771664086,-0.029441581654784155,-0.22373324907635472,0.0021791752106594727,-0.06536113148095372,0.16777923256858887,0.05019954267686444,-0.14865710033685517,0.02022702425726439,-0.06578433277472275,-0.053035613941079154,0.01999759919393964,0.10826131392928266,-0.0067593010140962004,0.12992390784250887,0.2265444803296745,0.2319542286211593,-0.046297451492272886,-0.27401270016596757,-0.04920064705716351,-0.08253296266609585,-0.14059272901003303,-0.25221016727609097,-1.8639320253359244
27006,2021-04-30,0.08705935578125755,0.19190642612595013,-0.030954874487990853,0.21232946000548186,0.14174413185721485,0.12102444819099709,0.10120433833780715,0.4152124340950514,0.5203360622406485,0.3755008648360593,0.7022874190325279,0.39826782761888385,-0.21505568957646873,0.010252086815005203,-0.05533622323594658,-0.24171831867633956,1.2568835821388513,-0.029487173086908406,-0.21364528938764774,-0.010216028075883368,-0.0037276986394115747,0.16540641766585212,0.04602449901769982,-0.13613281514728776,-0.07437482553888945,-0.0722098972007117,-0.048374552484921604,0.030649936032835882,0.08455543878068797,-0.01563902506075997,0.14023392033199883,0.22636087991550594,0.20369311754573724,-0.05751419649047197,-0.25287254022284217,-0.034171488726345976,-0.08296318600035875,-0.33479669678328006,-0.22686788064240873,-1.8639320253359244
27006,2021-05-31,0.07600848047065514,0.17458953200813698,0.019360933191530136,0.20166530516474201,0.45201701574115055,0.1211349334450303,0.13101912433022458,0.27137888412765077,0.5815418470586382,0.3760000967824434,0.675362195288343,0.4203513172628331,-0.2065596403190648,0.04418582266396769,-0.04714605251710823,-0.2112419671986937,1.4914982846707436,-0.029373493356865833,-0.2780884165319984,-0.006028192064723792,0.0637026567171411,0.1683746995391171,0.04680969387267115,-0.13090859885304743,0.007815772692585524,-0.06623236169377862,-0.0409666206650009,0.055818432354664944,0.11351108137451581,-0.013866912719492766,0.12460717042273466,0.20723200669588251,0.21368606980837157,-0.05588458932192358,-0.2614192676724646,-0.03439820089750977,-0.09228740292613286,-0.3564766961782581,-0.2207700510610651,-1.8639320253359244
27006,2021-06-30,0.07419686463793103,0.1787124489188669,0.04289682839219618,0.19739545259017938,0.49663697233782755,0.10883873278796846,0.11556509670882609,0.07966653790036908,0.5847700883428898,0.34837711623189793,0.6826406460942811,0.30239158924279336,-0.20973158429898195,0.043934848932199164,-0.047802245862516565,-0.20190614039933213,1.6308868097873679,-0.04004151181276903,-0.2960847061094096,0.02003671845649018,0.06255490172320907,0.17478210621592064,0.045875634717341046,-0.1630052502524322,0.06514585862473106,-0.04786587125216845,-0.04472329147147694,0.04268143047404018,0.10386416442058194,-0.006962554203698058,0.12551305276876004,0.1211792827916364,0.2213230155462554,-0.20326954180796594,-0.22962881970084575,-0.03810752046383285,-0.08362932507568965,-0.6596349718702784,-0.21141905172211536,-1.8639320253359244
27006,2021-07-31,0.10069874999174275,0.1706738090936137,-0.06628620627979565,0.21622252307020545,0.40548637753785294,0.12105980749422386,0.15037252032559512,0.10781903123825724,0.5572489758896843,0.31944014456728054,0.6311905266830656,0.33374256281963594,-0.2128858634851381,0.044193082981083036,-0.05669037049661237,-0.1957493056210576,1.5546871462524452,-0.029868609694664663,-0.22629526945720263,-0.016732325082777097,-0.08943126943397611,0.16757284572329983,0.027742930046091335,-0.1592689676219526,-0.050587173606806146,-0.06053513817579909,-0.012002055315741772,0.026963161748928943,0.07449405928432339,0.011525916925036659,0.11896052809886093,0.17470778474481166,0.20610296884351428,-0.31125181207562247,-0.2576833132557805,-0.022330171081000015,-0.07908653919465725,-0.830651309332952,-0.20778011435663227,-1.8639320253359244
27006,2021-08-31,-0.03916490559871214,0.18464633367617822,-0.014225858466349066,0.18385779254955786,0.019434742702231684,0.11945406513104345,0.08749978794111674,0.39260539034185127,0.7220808282517415,0.4252325010483545,0.7271602995373962,0.08678555741674379,-0.18561235344503427,0.008881820164467478,-0.062367565096497934,-0.2027379731254637,0.09957784849508299,-0.031196143248293912,-0.09644655854746502,-0.03815043347427489,-0.1124133155248135,0.1410759027893099,0.026755923033465568,-0.10687729650359118,0.31628803043612597,-0.03687467473879697,-0.016721964227514204,0.040658083047106185,0.1042540849150895,0.030822884829083994,0.18550030041825824,0.08189994440549014,0.1886881767179636,-0.04867576533086994,-0.26944817403672144,-0.01425975107824223,-0.1295653177969933,-0.8001329635216751,-0.2435163902937541,-1.8639320253359244
27006,2021-09-30,-0.06339055319176977,0.16415314569368047,-0.010274328435655357,0.1637855858272995,-0.14481249433556315,0.10182964219998798,0.06582853123375866,0.14849361932512703,0.7218725474636635,0.46678126878484766,0.543480290301793,0.07803717091739029,-0.18918726550068712,0.018095414294715076,-0.06331073018741726,-0.21673111580812582,-0.7420731611752484,-0.030942227023462224,-0.05184611480976982,0.0017622599825438013,-0.09124852799269635,0.11204404849916179,0.026251284858840252,-0.09778185675898689,0.31722431641024207,-0.03704185923432497,-0.022126760619900196,0.06250007426574491,0.08440466167290772,0.018057208704555266,0.20286215481257286,0.14525852710065468,0.17951810558041362,-0.047060107464103274,-0.2827782051320156,-0.12382696851695671,-0.11111087248841939,-0.7660978316306302,-0.2881198860057671,-1.8639320253359244
27006,2021-10-31,-0.05223630381170653,0.19564592402915437,-0.002297225796652682,0.17798301110289932,-0.23724903936405028,0.08854757071859422,0.06372422674837622,0.20858172324548774,0.8055115414748446,0.6404451397147131,0.5654459506588083,0.15101427581941956,-0.17074330490341608,-0.003288457039988493,-0.048941168286991014,-0.22790858970880562,-0.7181657418916016,-0.03188600430686499,0.04189441879244967,0.0037939142864819777,0.028340483405592212,0.22577122640179545,0.026251284858840252,-0.08124572204919546,0.19646336597954545,-0.03553910244426338,-0.0162743930839472,0.09164615295948657,0.08004628440544023,0.020764767204392666,0.19864113482578757,0.17022701427607045,0.18144533354217823,-0.052723300673728275,-0.2715442409235317,-0.08736639299950238,-0.132428524358846,-0.7421660665129088,0.03641144624696436,-1.8639320253359244
